workclass,education,marital_status,occupation,relationship,race,sex,income
State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,<=50K
Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,<=50K
Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,<=50K
Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,>50K
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,<=50K
Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,<=50K
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,<=50K
Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
Private,11th,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,>50K
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,<=50K
Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,<=50K
Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,<=50K
Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,<=50K
?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,>50K
Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,<=50K
Private,Some-college,Never-married,Sales,Own-child,Black,Male,<=50K
Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,<=50K
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,<=50K
State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,<=50K
Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,<=50K
Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,<=50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,>50K
Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,<=50K
Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,>50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,<=50K
Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,>50K
Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,<=50K
?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
?,Some-college,Never-married,?,Own-child,White,Male,<=50K
Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,<=50K
Private,Bachelors,Separated,Sales,Own-child,Black,Female,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,>50K
Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Male,<=50K
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
?,10th,Married-civ-spouse,?,Husband,White,Male,<=50K
Private,11th,Never-married,Other-service,Own-child,White,Female,<=50K
Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,<=50K
Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,<=50K
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,>50K
Private,HS-grad,Divorced,Sales,Own-child,White,Female,<=50K
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Private,9th,Never-married,Sales,Not-in-family,White,Male,<=50K
Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
