job,marital,education,default,housing,loan,contact,month,poutcome,y
blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,nonexistent,0
technician,married,unknown,no,no,no,cellular,nov,nonexistent,0
management,single,university.degree,no,yes,no,cellular,jun,success,1
services,married,high.school,no,no,no,cellular,apr,nonexistent,0
retired,married,basic.4y,no,yes,no,cellular,aug,success,1
management,divorced,basic.4y,no,yes,no,cellular,jul,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,cellular,may,nonexistent,0
blue-collar,divorced,basic.9y,no,yes,no,cellular,may,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jun,success,1
blue-collar,single,basic.4y,no,yes,no,cellular,apr,failure,0
housemaid,single,university.degree,no,no,no,telephone,may,nonexistent,0
management,married,university.degree,no,yes,no,cellular,aug,nonexistent,0
management,married,university.degree,no,no,no,cellular,aug,nonexistent,1
services,divorced,high.school,no,yes,no,cellular,may,nonexistent,0
admin.,married,high.school,no,no,yes,telephone,jun,nonexistent,0
services,married,high.school,unknown,yes,no,cellular,jul,nonexistent,0
services,married,high.school,no,no,no,cellular,apr,nonexistent,1
admin.,single,university.degree,no,no,no,telephone,oct,nonexistent,1
blue-collar,married,basic.9y,unknown,no,no,telephone,may,nonexistent,0
unemployed,single,basic.9y,no,yes,yes,cellular,jul,nonexistent,0
unemployed,married,basic.9y,unknown,yes,no,telephone,apr,failure,0
blue-collar,single,unknown,no,no,yes,telephone,jun,nonexistent,0
admin.,married,university.degree,unknown,yes,no,telephone,jul,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,nonexistent,0
blue-collar,married,high.school,no,yes,yes,cellular,jul,nonexistent,0
entrepreneur,single,university.degree,no,yes,no,cellular,may,nonexistent,0
technician,divorced,unknown,no,yes,yes,cellular,oct,nonexistent,0
admin.,married,high.school,no,yes,no,cellular,apr,success,0
blue-collar,married,basic.6y,unknown,yes,no,cellular,may,nonexistent,0
blue-collar,single,basic.4y,unknown,no,no,telephone,jul,nonexistent,0
services,divorced,high.school,no,no,no,telephone,jun,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,may,nonexistent,0
technician,married,professional.course,no,yes,no,cellular,may,nonexistent,0
technician,married,high.school,no,yes,no,cellular,jun,nonexistent,1
services,divorced,basic.9y,unknown,no,no,cellular,jul,nonexistent,0
blue-collar,married,basic.6y,unknown,no,no,cellular,may,failure,0
blue-collar,married,basic.4y,no,yes,yes,cellular,jul,nonexistent,0
technician,married,high.school,unknown,no,no,cellular,apr,failure,0
blue-collar,married,basic.4y,no,yes,no,telephone,jun,nonexistent,0
management,married,university.degree,no,yes,yes,cellular,aug,nonexistent,0
blue-collar,married,basic.9y,no,no,no,telephone,may,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,telephone,may,nonexistent,0
blue-collar,married,basic.4y,no,no,no,cellular,jul,nonexistent,0
retired,divorced,basic.6y,no,yes,no,cellular,nov,nonexistent,1
blue-collar,married,basic.9y,unknown,no,no,cellular,aug,nonexistent,0
management,married,high.school,unknown,yes,no,cellular,nov,nonexistent,0
housemaid,married,basic.4y,no,yes,no,cellular,aug,nonexistent,0
entrepreneur,married,basic.6y,no,yes,no,cellular,may,failure,0
retired,married,basic.4y,unknown,yes,no,cellular,aug,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,may,nonexistent,0
technician,married,basic.9y,unknown,no,no,telephone,jun,nonexistent,0
blue-collar,married,high.school,unknown,yes,yes,cellular,may,failure,0
blue-collar,married,basic.6y,unknown,no,no,telephone,jun,nonexistent,0
management,married,university.degree,no,yes,no,telephone,may,nonexistent,0
blue-collar,married,high.school,no,no,no,telephone,may,nonexistent,0
management,single,university.degree,no,yes,no,cellular,may,failure,0
admin.,married,high.school,no,no,yes,telephone,may,nonexistent,0
blue-collar,married,professional.course,no,yes,no,telephone,may,nonexistent,0
blue-collar,married,high.school,no,yes,no,telephone,jun,nonexistent,0
technician,married,professional.course,no,no,no,telephone,may,nonexistent,0
admin.,married,high.school,no,yes,yes,cellular,apr,nonexistent,0
management,married,university.degree,no,no,no,cellular,mar,nonexistent,1
admin.,married,university.degree,no,yes,no,cellular,nov,nonexistent,0
retired,married,basic.4y,no,yes,no,cellular,jul,nonexistent,0
admin.,single,high.school,no,no,no,cellular,jul,nonexistent,0
technician,divorced,university.degree,no,yes,no,cellular,apr,nonexistent,0
technician,married,professional.course,no,yes,no,telephone,may,nonexistent,0
self-employed,single,university.degree,no,yes,no,telephone,may,nonexistent,0
blue-collar,married,unknown,unknown,yes,no,telephone,may,nonexistent,0
unknown,single,unknown,unknown,yes,no,telephone,jun,nonexistent,0
management,married,university.degree,no,no,no,cellular,aug,success,0
entrepreneur,married,university.degree,no,no,no,cellular,nov,nonexistent,0
services,married,professional.course,no,yes,no,telephone,may,nonexistent,0
management,married,university.degree,no,no,no,cellular,jul,nonexistent,0
services,married,professional.course,no,no,no,telephone,aug,nonexistent,0
technician,divorced,university.degree,unknown,no,no,telephone,may,nonexistent,0
blue-collar,married,professional.course,unknown,yes,yes,telephone,may,nonexistent,0
technician,divorced,professional.course,no,no,no,telephone,may,nonexistent,0
self-employed,single,university.degree,no,yes,no,cellular,jul,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,aug,nonexistent,0
technician,married,professional.course,no,yes,no,telephone,jun,nonexistent,0
services,divorced,professional.course,no,no,yes,cellular,aug,nonexistent,0
