dataset,positive,tau,divisor,m,budget,method,coverage,purity,purity_reaches_tau,conditions,splits,seconds
titanic,survived,0.9,5,1,8,vsf,0.4706,0.9488,1.0,4.0,10,2.0
titanic,survived,0.9,5,1,32,vsf,0.4866,0.9509,1.0,22.1,10,2.0
titanic,survived,0.9,5,1,8,vsf_partial,0.5246,0.9543,1.0,6.6,10,2.0
titanic,survived,0.9,5,1,32,vsf_partial,0.5276,0.9103,0.7,28.5,10,2.0
titanic,survived,0.9,5,1,8,rules_disjoint,0.5261,0.9439,1.0,7.9,10,2.0
titanic,survived,0.9,5,1,32,rules_disjoint,0.573,0.8753,0.5,31.6,10,2.0
titanic,survived,0.9,5,5,8,vsf,0.4706,0.9488,1.0,4.0,10,1.1
titanic,survived,0.9,5,5,32,vsf,0.4823,0.9503,1.0,8.2,10,1.1
titanic,survived,0.9,5,5,8,vsf_partial,0.5232,0.9542,1.0,6.0,10,1.1
titanic,survived,0.9,5,5,32,vsf_partial,0.5261,0.9447,0.9,6.5,10,1.1
titanic,survived,0.9,5,5,8,rules_disjoint,0.5232,0.9542,1.0,6.0,10,1.1
titanic,survived,0.9,5,5,32,rules_disjoint,0.5291,0.9315,0.8,7.8,10,1.1
titanic,survived,0.9,5,20,8,vsf,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,5,20,32,vsf,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,5,20,8,vsf_partial,0.4547,0.9463,1.0,4.4,10,0.7
titanic,survived,0.9,5,20,32,vsf_partial,0.4547,0.9463,1.0,4.4,10,0.7
titanic,survived,0.9,5,20,8,rules_disjoint,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,5,20,32,rules_disjoint,0.4706,0.9488,1.0,4.0,10,0.7
titanic,survived,0.9,10,1,8,vsf,0.4706,0.9488,1.0,4.0,10,2.1
titanic,survived,0.9,10,1,32,vsf,0.4866,0.9509,1.0,22.1,10,2.1
titanic,survived,0.9,10,1,8,vsf_partial,0.5246,0.9543,1.0,6.6,10,2.1
titanic,survived,0.9,10,1,32,vsf_partial,0.5262,0.9143,0.7,28.1,10,2.1
titanic,survived,0.9,10,1,8,rules_disjoint,0.5261,0.9439,1.0,7.9,10,2.1
titanic,survived,0.9,10,1,32,rules_disjoint,0.573,0.8753,0.5,31.6,10,2.1
titanic,survived,0.9,10,5,8,vsf,0.4706,0.9488,1.0,4.0,10,1.3
titanic,survived,0.9,10,5,32,vsf,0.4823,0.9503,1.0,8.2,10,1.3
titanic,survived,0.9,10,5,8,vsf_partial,0.5232,0.9542,1.0,6.0,10,1.3
titanic,survived,0.9,10,5,32,vsf_partial,0.5261,0.9447,0.9,6.5,10,1.3
titanic,survived,0.9,10,5,8,rules_disjoint,0.5232,0.9542,1.0,6.0,10,1.3
titanic,survived,0.9,10,5,32,rules_disjoint,0.5291,0.9315,0.8,7.8,10,1.3
titanic,survived,0.9,10,20,8,vsf,0.4706,0.9488,1.0,4.0,10,0.8
titanic,survived,0.9,10,20,32,vsf,0.4706,0.9488,1.0,4.0,10,0.8
titanic,survived,0.9,10,20,8,vsf_partial,0.4547,0.9463,1.0,4.4,10,0.8
titanic,survived,0.9,10,20,32,vsf_partial,0.4547,0.9463,1.0,4.4,10,0.8
titanic,survived,0.9,10,20,8,rules_disjoint,0.4706,0.9488,1.0,4.0,10,0.8
titanic,survived,0.9,10,20,32,rules_disjoint,0.4706,0.9488,1.0,4.0,10,0.8
titanic,survived,0.9,20,1,8,vsf,0.4706,0.9488,1.0,4.0,10,2.3
titanic,survived,0.9,20,1,32,vsf,0.4881,0.9407,0.9,27.7,10,2.3
titanic,survived,0.9,20,1,8,vsf_partial,0.5246,0.9543,1.0,6.6,10,2.3
titanic,survived,0.9,20,1,32,vsf_partial,0.5246,0.9201,0.7,27.3,10,2.3
titanic,survived,0.9,20,1,8,rules_disjoint,0.5261,0.9439,1.0,7.9,10,2.3
titanic,survived,0.9,20,1,32,rules_disjoint,0.573,0.8753,0.5,31.6,10,2.3
titanic,survived,0.9,20,5,8,vsf,0.4706,0.9488,1.0,4.0,10,1.6
titanic,survived,0.9,20,5,32,vsf,0.4823,0.9503,1.0,8.2,10,1.6
titanic,survived,0.9,20,5,8,vsf_partial,0.5232,0.9542,1.0,6.0,10,1.6
titanic,survived,0.9,20,5,32,vsf_partial,0.5291,0.9398,0.9,7.0,10,1.6
titanic,survived,0.9,20,5,8,rules_disjoint,0.5232,0.9542,1.0,6.0,10,1.6
