dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
attrition,Yes,0.5,20,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.462
attrition,Yes,0.5,20,5,4,purity,vsf,2,0.3401,0.0314,0.5211,25,0.64,0.0253,0.0428,0.941,2.0,0.3439,0.0,0.0,0.0,0.0,X_8+X_12#1,0.462
attrition,Yes,0.5,20,5,4,purity,vsf,4,0.3401,0.0314,0.5211,25,0.64,0.0253,0.0428,0.941,2.0,0.3439,0.0,0.0,0.0,0.0,X_8+X_12#1,0.462
attrition,Yes,0.5,20,5,4,purity,vsf,8,0.3443,0.0318,0.5263,25,0.68,0.0321,0.0445,0.994,2.16,0.3456,0.0,0.0,0.0,0.0,X_8+X_12#1,0.462
attrition,Yes,0.5,20,5,4,purity,vsf,16,0.3443,0.0318,0.5263,25,0.68,0.0321,0.0445,0.994,2.16,0.3456,0.0,0.0,0.0,0.0,X_8+X_12#1,0.462
attrition,Yes,0.5,20,5,4,purity,vsf,32,0.3443,0.0318,0.5263,25,0.68,0.0321,0.0445,0.994,2.16,0.3456,0.0,0.0,0.0,0.0,X_8+X_12#1,0.462
attrition,Yes,0.5,20,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.76
attrition,Yes,0.5,20,5,4,purity,vsf_partial,2,0.3401,0.0314,0.5211,25,0.64,0.0253,0.0428,0.941,2.0,0.3439,0.0,0.0,0.0,0.0,X_8+X_12#1,0.76
attrition,Yes,0.5,20,5,4,purity,vsf_partial,4,0.3468,0.0314,0.5285,25,0.68,0.033,0.0478,0.942,2.24,0.3504,0.0068,0.0108,0.0077,0.0258,X_8+X_12#1,0.76
attrition,Yes,0.5,20,5,4,purity,vsf_partial,8,0.4329,0.031,0.5206,25,0.68,0.0338,0.0412,0.922,5.16,0.4411,0.0886,0.0207,0.0017,0.0283,X_8+X_12#1 | X_9+X_12+X_13#57,0.76
attrition,Yes,0.5,20,5,4,purity,vsf_partial,16,0.4287,0.0306,0.5128,25,0.64,0.0194,0.0468,0.868,6.12,0.4439,0.0844,0.0229,-0.0127,0.0421,X_8+X_12#1 | X_9+X_12+X_13#57,0.76
