dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf,1,0.0094,0.015,0.1905,7,0.0,-0.062,0.0682,0.377,0.96,0.0259,0.0,0.0,0.0,0.0,X_4#3,0.03
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf,2,0.24,0.0626,0.6993,25,0.64,0.0204,0.134,0.839,2.0,0.2694,0.0,0.0,0.0,0.0,X_2+X_6#8,0.03
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf,4,0.2518,0.0545,0.7124,25,0.64,-0.0008,0.1411,0.834,2.52,0.2806,0.0,0.0,0.0,0.0,X_2+X_6#8,0.03
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf,8,0.2188,0.0513,0.6383,25,0.4,-0.0996,0.1476,0.491,4.24,0.2976,0.0,0.0,0.0,0.0,X_2+X_6#8,0.03
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf,16,0.2682,0.0572,0.6565,25,0.4,-0.0941,0.1488,0.489,15.48,0.3618,0.0,0.0,0.0,0.0,X_3+X_5+X_6#17 | X_3+X_5+X_6#9 | X_3+X_5+X_6#6 | X_3+X_5+X_6#11 | X_3+X_5+X_6#12,0.03
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf,32,0.2729,0.0619,0.6329,25,0.32,-0.1059,0.1355,0.502,20.2,0.3782,0.0,0.0,0.0,0.0,X_3+X_5+X_6#17 | X_3+X_5+X_6#9 | X_3+X_5+X_6#6 | X_3+X_5+X_6#11 | X_3+X_5+X_6#12,0.03
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_partial,1,0.0094,0.015,0.1905,7,0.0,-0.062,0.0682,0.377,0.96,0.0259,0.0,0.0,0.0,0.0,X_4#3,0.091
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_partial,2,0.24,0.0626,0.6993,25,0.64,0.0204,0.134,0.839,2.0,0.2694,0.0,0.0,0.0,0.0,X_2+X_6#8,0.091
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_partial,4,0.2659,0.0685,0.6168,25,0.44,-0.1075,0.1718,0.663,4.0,0.3271,0.0141,0.0357,-0.1067,0.0911,X_2+X_6#8 | X_2+X_4#5,0.091
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_partial,8,0.2729,0.054,0.528,25,0.16,-0.3365,0.192,0.445,7.72,0.4141,0.0541,0.0408,-0.2369,0.1306,X_2+X_6#8 | X_2+X_6+X_9#5 | X_2+X_4+X_6#5,0.091
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_partial,16,0.3082,0.0486,0.5202,25,0.08,-0.3671,0.1527,0.437,14.08,0.4794,0.04,0.0464,-0.2729,0.133,X_2+X_6#8 | X_2+X_4+X_6+X_8#14 | X_2+X_4+X_8#5 | X_2+X_4+X_8#8 | X_2+X_6+X_8#10,0.091
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_partial,32,0.3247,0.055,0.5402,25,0.04,-0.3725,0.1789,0.453,20.92,0.5041,0.0518,0.0512,-0.2667,0.1587,X_2+X_6#8 | X_2+X_4+X_6+X_8#14 | X_2+X_4+X_8#5 | X_2+X_4+X_8#8 | X_2+X_6+X_8#10,0.091
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_greedy,1,0.0094,0.015,0.1905,7,0.0,-0.062,0.0682,0.377,0.96,0.0259,0.0,0.0,0.0,0.0,X_4#3,0.005
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_greedy,2,0.0518,0.0358,0.4678,17,0.235,-0.091,0.0943,0.179,1.96,0.1018,-0.1882,0.064,-0.1114,0.1643,X_4+X_8#8,0.005
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_greedy,4,0.1529,0.0571,0.6097,24,0.458,-0.0282,0.1159,0.35,3.6,0.1835,-0.0988,0.0724,-0.0275,0.158,X_4+X_6+X_8#14,0.005
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_greedy,8,0.1765,0.0578,0.5885,25,0.44,-0.0651,0.1107,0.37,7.28,0.2494,-0.0424,0.0757,0.0345,0.1541,X_4+X_6+X_8#14 | X_4+X_6+X_8#16,0.005
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_greedy,16,0.2259,0.0651,0.5791,25,0.36,-0.1145,0.1333,0.436,14.36,0.3106,-0.0424,0.0795,-0.0204,0.1444,X_4+X_5+X_6+X_8#19 | X_4+X_5+X_6+X_8#21 | X_4+X_5+X_6+X_8#13 | X_4+X_5+X_6+X_8#9,0.005
breast_cancer,recurrence-events,0.7,1,5,4,purity,vsf_greedy,32,0.2471,0.0743,0.5789,25,0.32,-0.1318,0.142,0.439,17.44,0.3265,-0.0259,0.0798,-0.0259,0.1572,X_4+X_5+X_6+X_8#19 | X_4+X_5+X_6+X_8#21 | X_4+X_5+X_6+X_8#13 | X_4+X_5+X_6+X_8#9 | X_4+X_5+X_6+X_8#14,0.005
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules,1,0.0094,0.015,0.1905,7,0.0,-0.062,0.0682,0.377,0.96,0.0259,0.0,0.0,0.0,0.0,X_4=3,0.022
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules,2,0.24,0.0626,0.6993,25,0.64,0.0204,0.134,0.839,2.0,0.2694,0.0,0.0,0.0,0.0,X_2=2 & X_6=2,0.022
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules,4,0.2871,0.0668,0.6165,25,0.52,-0.1137,0.1644,0.647,4.0,0.3541,0.0353,0.0354,-0.1129,0.0758,X_2=2 & X_6=2 | X_5=2 & X_7=0,0.022
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules,8,0.3318,0.0626,0.5646,25,0.24,-0.3051,0.1924,0.565,7.88,0.4641,0.1129,0.0556,-0.2055,0.1372,X_2=2 & X_6=2 | X_5=2 & X_7=0 | X_3=5 & X_6=2 | X_3=4 & X_8=5,0.022
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules,16,0.4024,0.0604,0.4939,25,0.08,-0.6243,0.2271,0.561,15.88,0.6194,0.1341,0.0603,-0.5302,0.1958,X_2=2 & X_6=2 | X_5=2 & X_7=0 | X_3=5 & X_6=2 | X_3=4 & X_8=5 | X_6=2 & X_8=2 | X_4=4 & X_8=5 | X_1=1 & X_2=2 & X_4=0 & X_8=3,0.022
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules,32,0.4871,0.0644,0.446,25,0.0,-0.9788,0.2764,0.603,31.48,0.78,0.2141,0.0817,-0.8729,0.2571,X_2=2 & X_6=2 | X_5=2 & X_7=0 | X_3=5 & X_6=2 | X_3=4 & X_8=5 | X_6=2 & X_8=2 | X_4=4 & X_8=5 | X_1=1 & X_2=2 & X_4=0 & X_8=3 | X_3=3 & X_6=0 & X_8=3 | X_1=5 & X_3=2 | X_3=10 & X_6=2 | X_1=2 & X_3=5 & X_4=4 | X_1=4 & X_3=7 & X_4=0 | X_1=2 & X_3=7 & X_7=0,0.022
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_pure,1,0.0094,0.015,0.1905,7,0.0,-0.062,0.0682,0.377,0.96,0.0259,0.0,0.0,0.0,0.0,X_4=3,0.023
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_pure,2,0.24,0.0626,0.6993,25,0.64,0.0204,0.134,0.839,2.0,0.2694,0.0,0.0,0.0,0.0,X_2=2 & X_6=2,0.023
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_pure,4,0.2776,0.0687,0.5932,25,0.48,-0.1396,0.1671,0.633,4.0,0.35,0.0259,0.0458,-0.1388,0.1048,X_2=2 & X_6=2 | X_5=2 & X_6=2,0.023
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_pure,8,0.3224,0.0673,0.5473,25,0.28,-0.331,0.2024,0.546,7.88,0.4612,0.1035,0.0661,-0.2314,0.1623,X_2=2 & X_6=2 | X_5=2 & X_6=2 | X_3=5 & X_6=2 | X_3=4 & X_8=5,0.023
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_pure,16,0.3765,0.0627,0.484,25,0.08,-0.6173,0.225,0.541,15.84,0.6124,0.1082,0.0664,-0.5231,0.1926,X_2=2 & X_6=2 | X_5=2 & X_6=2 | X_3=5 & X_6=2 | X_3=4 & X_8=5 | X_2=0 & X_3=5 & X_9=1 | X_4=4 & X_8=5 | X_1=1 & X_6=0 & X_8=3,0.023
breast_cancer,recurrence-events,0.7,1,5,4,purity,rules_pure,32,0.4776,0.0655,0.4483,25,0.0,-0.9498,0.2749,0.595,31.48,0.7753,0.2047,0.0844,-0.8439,0.2551,X_2=2 & X_6=2 | X_5=2 & X_6=2 | X_3=5 & X_6=2 | X_3=4 & X_8=5 | X_2=0 & X_3=5 & X_9=1 | X_4=4 & X_8=5 | X_1=1 & X_2=2 & X_4=0 & X_8=3 | X_3=3 & X_6=1 & X_7=0 & X_8=2 | X_2=0 & X_8=2 & X_9=1 | X_3=3 & X_6=0 & X_8=3 | X_3=10 & X_6=2 | X_1=2 & X_3=5 & X_4=4,0.023
