dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
car_evaluation,acc,0.9,1,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006
car_evaluation,acc,0.9,1,5,4,purity,vsf,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006
car_evaluation,acc,0.9,1,5,4,purity,vsf,4,0.0282,0.015,0.8838,19,0.737,-0.0047,0.0461,0.076,4.0,0.0512,0.0,0.0,0.0,0.0,X_1+X_2+X_4+X_6#75,0.006
car_evaluation,acc,0.9,1,5,4,purity,vsf,8,0.0652,0.0319,0.9669,23,0.913,0.037,0.0363,0.142,8.0,0.0967,0.0,0.0,0.0,0.0,X_1+X_2+X_4+X_6#75 | X_1+X_2+X_4+X_6#78,0.006
car_evaluation,acc,0.9,1,5,4,purity,vsf,16,0.1146,0.0431,0.9517,25,0.8,0.0489,0.0371,0.21,16.0,0.171,0.0,0.0,0.0,0.0,X_1+X_2+X_4+X_6#75 | X_1+X_2+X_4+X_6#78 | X_1+X_2+X_4+X_6#5 | X_1+X_2+X_4+X_6#8,0.006
car_evaluation,acc,0.9,1,5,4,purity,vsf,32,0.2099,0.0358,0.9538,25,0.92,0.1114,0.0471,0.334,31.68,0.2939,0.0,0.0,0.0,0.0,X_1+X_2+X_4+X_6#75 | X_1+X_2+X_4+X_6#78 | X_1+X_2+X_4+X_6#5 | X_1+X_2+X_4+X_6#8 | X_1+X_2+X_4+X_6#57 | X_1+X_2+X_4+X_6#60 | X_1+X_2+X_4+X_6#48 | X_1+X_2+X_4+X_6#33,0.006
car_evaluation,acc,0.9,1,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01
car_evaluation,acc,0.9,1,5,4,purity,vsf_partial,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01
car_evaluation,acc,0.9,1,5,4,purity,vsf_partial,4,0.0282,0.015,0.8838,19,0.737,-0.0047,0.0461,0.076,4.0,0.0512,0.0,0.0,0.0,0.0,X_1+X_2+X_4+X_6#75,0.01
car_evaluation,acc,0.9,1,5,4,purity,vsf_partial,8,0.0652,0.0319,0.9669,23,0.913,0.037,0.0363,0.142,8.0,0.0967,0.0,0.0,0.0,0.0,X_1+X_2+X_4+X_6#75 | X_1+X_2+X_4+X_6#78,0.01
