dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
connect_4,loss,0.7,20,1,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,238.085
connect_4,loss,0.7,20,1,4,purity,vsf,2,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,0.0,0.0,0.0,0.0,X_21+X_22#2,238.085
connect_4,loss,0.7,20,1,4,purity,vsf,4,0.0751,0.0041,0.7243,5,1.0,0.0085,0.0046,0.715,3.8,0.0759,0.0,0.0,0.0,0.0,X_19+X_20+X_21+X_25#6,238.085
connect_4,loss,0.7,20,1,4,purity,vsf,8,0.0895,0.0041,0.7341,5,1.0,0.0139,0.0063,0.692,8.0,0.0908,0.0,0.0,0.0,0.0,X_19+X_20+X_21+X_25#6 | X_19+X_20+X_21+X_25#31,238.085
connect_4,loss,0.7,20,1,4,purity,vsf,16,0.0951,0.005,0.7514,5,1.0,0.0219,0.0069,0.557,14.4,0.0988,0.0,0.0,0.0,0.0,X_1+X_15+X_19+X_20#44 | X_1+X_15+X_19+X_20#50 | X_1+X_15+X_19+X_20#9 | X_1+X_15+X_19+X_20#51,238.085
connect_4,loss,0.7,20,1,4,purity,vsf,32,0.101,0.0053,0.7502,5,1.0,0.0226,0.0053,1.0,24.0,0.101,0.0,0.0,0.0,0.0,X_1+X_15+X_19+X_20#44 | X_1+X_15+X_19+X_20#50 | X_1+X_15+X_19+X_20#9 | X_1+X_15+X_19+X_20#51 | X_1+X_15+X_19+X_20#54 | X_1+X_15+X_19+X_20#30,238.085
connect_4,loss,0.7,20,1,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,346.009
connect_4,loss,0.7,20,1,4,purity,vsf_partial,2,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,0.0,0.0,0.0,0.0,X_21+X_22#2,346.009
connect_4,loss,0.7,20,1,4,purity,vsf_partial,4,0.0751,0.0041,0.7243,5,1.0,0.0085,0.0046,0.715,3.8,0.0759,0.0,0.0,0.0,0.0,X_19+X_20+X_21+X_25#6,346.009
connect_4,loss,0.7,20,1,4,purity,vsf_partial,8,0.0914,0.0048,0.7314,5,1.0,0.0132,0.0055,0.533,7.0,0.0931,0.0019,0.0035,-0.0007,0.003,X_1+X_19+X_20#16 | X_1+X_15+X_19+X_20#50,346.009
connect_4,loss,0.7,20,1,4,purity,vsf_partial,16,0.1035,0.0046,0.7466,5,1.0,0.0215,0.0038,0.723,15.0,0.1035,0.0084,0.0019,-0.0003,0.0072,X_1+X_19+X_20#16 | X_1+X_15+X_19+X_20#50 | X_1+X_15+X_19+X_20#9 | X_1+X_15+X_19+X_20#54,346.009
connect_4,loss,0.7,20,1,4,purity,vsf_partial,32,0.1047,0.0048,0.7475,5,1.0,0.0222,0.0042,0.722,18.2,0.1046,0.0037,0.0006,-0.0004,0.0011,X_1+X_19+X_20#16 | X_1+X_15+X_19+X_20#50 | X_1+X_15+X_19+X_20#9 | X_1+X_15+X_19+X_20#54 | X_1+X_15+X_19+X_20#30,346.009
connect_4,loss,0.7,20,1,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.566
connect_4,loss,0.7,20,1,4,purity,vsf_greedy,2,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,0.0,0.0,0.0,0.0,X_21+X_22#2,0.566
connect_4,loss,0.7,20,1,4,purity,vsf_greedy,4,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,-0.0387,0.0026,0.0079,0.0059,X_21+X_22#2,0.566
connect_4,loss,0.7,20,1,4,purity,vsf_greedy,8,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,-0.0531,0.0022,0.0025,0.0061,X_21+X_22#2,0.566
connect_4,loss,0.7,20,1,4,purity,vsf_greedy,16,0.0367,0.002,0.8103,5,1.0,0.0167,0.0037,0.985,4.0,0.0367,-0.0584,0.0031,-0.0052,0.0056,X_21+X_22#2,0.566
connect_4,loss,0.7,20,1,4,purity,vsf_greedy,32,0.0367,0.002,0.8103,5,1.0,0.0167,0.0037,0.985,4.0,0.0367,-0.0643,0.0038,-0.0059,0.0079,X_21+X_22#2,0.566
connect_4,loss,0.7,20,1,4,purity,rules,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1019.883
connect_4,loss,0.7,20,1,4,purity,rules,2,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,0.0,0.0,0.0,0.0,X_21=1 & X_22=1,1019.883
connect_4,loss,0.7,20,1,4,purity,rules,4,0.0751,0.0041,0.7243,5,1.0,0.0085,0.0046,0.715,3.8,0.0759,0.0,0.0,0.0,0.0,X_19=1 & X_20=1 & X_21=0 & X_25=0,1019.883
connect_4,loss,0.7,20,1,4,purity,rules,8,0.1372,0.0086,0.7444,5,1.0,0.0267,0.006,0.87,8.0,0.1367,0.0477,0.0055,0.0128,0.0086,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_7=2 & X_15=1 & X_19=1,1019.883
connect_4,loss,0.7,20,1,4,purity,rules,16,0.1926,0.0073,0.7203,5,1.0,0.0181,0.0074,0.904,15.2,0.1928,0.0975,0.0056,-0.0038,0.0044,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_19=1 & X_20=1 & X_21=0 & X_25=0 | X_1=2 & X_2=2 & X_8=0 & X_19=1 | X_7=2 & X_15=1 & X_19=1,1019.883
connect_4,loss,0.7,20,1,4,purity,rules,32,0.2717,0.0095,0.6924,5,0.4,-0.0097,0.0144,0.706,32.0,0.2761,0.1707,0.0075,-0.0323,0.0158,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_19=1 & X_20=1 & X_21=0 & X_25=0 | X_1=2 & X_2=2 & X_8=0 & X_19=1 | X_7=2 & X_15=1 & X_19=1 | X_1=2 & X_8=1 & X_14=1 | X_1=2 & X_7=0 & X_21=1 | X_14=1 & X_37=2 & X_38=2 & X_39=0 | X_7=2 & X_9=0 & X_20=1 & X_21=1 | X_5=2 & X_19=1,1019.883
connect_4,loss,0.7,20,1,4,purity,rules_pure,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5087.466
connect_4,loss,0.7,20,1,4,purity,rules_pure,2,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,0.0,0.0,0.0,0.0,X_21=1 & X_22=1,5087.466
connect_4,loss,0.7,20,1,4,purity,rules_pure,4,0.0751,0.0041,0.7243,5,1.0,0.0085,0.0046,0.715,3.8,0.0759,0.0,0.0,0.0,0.0,X_19=1 & X_20=1 & X_21=0 & X_25=0,5087.466
connect_4,loss,0.7,20,1,4,purity,rules_pure,8,0.1372,0.0086,0.7444,5,1.0,0.0267,0.006,0.87,8.0,0.1367,0.0477,0.0055,0.0128,0.0086,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_7=2 & X_15=1 & X_19=1,5087.466
connect_4,loss,0.7,20,1,4,purity,rules_pure,16,0.1926,0.0073,0.7203,5,1.0,0.0181,0.0074,0.904,15.2,0.1928,0.0975,0.0056,-0.0038,0.0044,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_19=1 & X_20=1 & X_21=0 & X_25=0 | X_1=2 & X_2=2 & X_8=0 & X_19=1 | X_7=2 & X_15=1 & X_19=1,5087.466
connect_4,loss,0.7,20,1,4,purity,rules_pure,32,0.2711,0.0091,0.7004,5,0.6,0.0008,0.0131,0.718,32.0,0.2749,0.1701,0.0079,-0.0218,0.0155,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_19=1 & X_20=1 & X_21=0 & X_25=0 | X_1=2 & X_2=2 & X_8=0 & X_19=1 | X_7=2 & X_15=1 & X_19=1 | X_1=2 & X_8=1 & X_14=1 | X_14=1 & X_37=2 & X_38=2 & X_39=0 | X_1=2 & X_20=1 & X_21=1 | X_15=1 & X_16=1 & X_37=2 | X_20=1 & X_21=1 & X_25=1,5087.466
connect_4,loss,0.7,20,1,4,purity,rules_disjoint,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,956.095
connect_4,loss,0.7,20,1,4,purity,rules_disjoint,2,0.0364,0.0022,0.8086,5,1.0,0.0164,0.0041,1.0,2.0,0.0364,0.0,0.0,0.0,0.0,X_21=1 & X_22=1,956.095
connect_4,loss,0.7,20,1,4,purity,rules_disjoint,4,0.0751,0.0041,0.7243,5,1.0,0.0085,0.0046,0.715,3.8,0.0759,0.0,0.0,0.0,0.0,X_19=1 & X_20=1 & X_21=0 & X_25=0,956.095
connect_4,loss,0.7,20,1,4,purity,rules_disjoint,8,0.1234,0.0091,0.7598,5,1.0,0.0327,0.0065,0.844,8.0,0.1232,0.0339,0.0056,0.0188,0.0057,X_1=2 & X_19=1 & X_20=1 | X_21=1 & X_22=1 | X_8=1 & X_15=1 & X_37=2,956.095
