dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
credit,bad,0.7,20,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.052
credit,bad,0.7,20,5,4,purity,vsf,2,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3+X_5#4,0.052
credit,bad,0.7,20,5,4,purity,vsf,4,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3+X_5#4,0.052
credit,bad,0.7,20,5,4,purity,vsf,8,0.1608,0.0109,0.7098,25,0.6,0.0044,0.0297,0.569,3.44,0.1685,0.0,0.0,0.0,0.0,X_1+X_3#13 | X_1+X_3#5 | X_1+X_3#11,0.052
credit,bad,0.7,20,5,4,purity,vsf,16,0.1703,0.0091,0.711,25,0.56,0.0058,0.0228,0.602,7.28,0.1775,0.0,0.0,0.0,0.0,X_1+X_3#13 | X_1+X_3#5 | X_1+X_3#11,0.052
credit,bad,0.7,20,5,4,purity,vsf,32,0.1705,0.0106,0.714,25,0.6,0.0082,0.0234,0.439,18.32,0.1835,0.0,0.0,0.0,0.0,X_1+X_3#13 | X_1+X_3#5 | X_1+X_3#11,0.052
credit,bad,0.7,20,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.236
credit,bad,0.7,20,5,4,purity,vsf_partial,2,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3+X_5#4,0.236
credit,bad,0.7,20,5,4,purity,vsf_partial,4,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3+X_5#4,0.236
credit,bad,0.7,20,5,4,purity,vsf_partial,8,0.2155,0.0103,0.7264,25,0.76,0.0246,0.0295,0.698,7.64,0.2254,0.0547,0.0116,0.0201,0.0283,X_5+X_9#0 | X_4+X_5+X_9#59 | X_1+X_4+X_9#109,0.236
credit,bad,0.7,20,5,4,purity,vsf_partial,16,0.2372,0.0121,0.7223,25,0.72,0.0228,0.0307,0.638,12.8,0.2517,0.0668,0.0126,0.017,0.0295,X_3+X_5#4 | X_3+X_4+X_8#11 | X_3+X_4+X_5+X_8#35 | X_3+X_4+X_5+X_8#52,0.236
credit,bad,0.7,20,5,4,purity,vsf_partial,32,0.238,0.0116,0.7174,25,0.68,0.0169,0.0299,0.596,13.8,0.2545,0.0675,0.012,0.0087,0.0299,X_1+X_3#13 | X_1+X_3#5 | X_1+X_3#11 | X_1+X_3+X_9#9 | X_1+X_4+X_9#50 | X_1+X_3+X_4+X_9#154 | X_1+X_3+X_4#35 | X_1+X_3+X_4+X_9#167,0.236
credit,bad,0.7,20,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.005
credit,bad,0.7,20,5,4,purity,vsf_greedy,2,0.0522,0.019,0.7043,25,0.4,-0.0044,0.0145,0.328,2.0,0.0592,-0.1129,0.0225,-0.0467,0.0206,X_4+X_11#16,0.005
credit,bad,0.7,20,5,4,purity,vsf_greedy,4,0.0584,0.0192,0.643,25,0.16,-0.0209,0.0137,0.189,2.88,0.0703,-0.1067,0.0237,-0.0632,0.0181,X_4+X_11#16 | X_4+X_11#12,0.005
credit,bad,0.7,20,5,4,purity,vsf_greedy,8,0.0786,0.0207,0.6575,25,0.32,-0.0148,0.0191,0.187,5.76,0.0904,-0.0821,0.0221,-0.0192,0.0285,X_4+X_5+X_11#48 | X_4+X_5+X_11#50,0.005
credit,bad,0.7,20,5,4,purity,vsf_greedy,16,0.0946,0.022,0.6678,25,0.4,-0.013,0.0238,0.197,10.4,0.1086,-0.0757,0.0253,-0.0188,0.0293,X_4+X_5+X_11#48 | X_4+X_5+X_11#50,0.005
credit,bad,0.7,20,5,4,purity,vsf_greedy,32,0.1065,0.0239,0.685,25,0.56,-0.0037,0.0258,0.205,15.08,0.1191,-0.064,0.0237,-0.0119,0.0336,X_4+X_5+X_9+X_11#81 | X_4+X_5+X_9+X_11#208 | X_4+X_5+X_9+X_11#210 | X_4+X_5+X_9+X_11#8 | X_4+X_5+X_9+X_11#79,0.005
credit,bad,0.7,20,5,4,purity,rules,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.193
credit,bad,0.7,20,5,4,purity,rules,2,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3=1 & X_5=0,0.193
credit,bad,0.7,20,5,4,purity,rules,4,0.2332,0.014,0.705,25,0.6,0.0043,0.0224,0.799,4.0,0.2343,0.0681,0.0107,-0.038,0.0193,X_3=1 & X_5=0 | X_1=6 & X_3=1,0.193
credit,bad,0.7,20,5,4,purity,rules,8,0.3167,0.0147,0.6818,25,0.32,-0.0316,0.0283,0.692,7.6,0.3253,0.156,0.0143,-0.036,0.0238,X_3=1 & X_5=0 | X_4=4 & X_6=1 & X_10=1 | X_1=6 & X_3=1,0.193
credit,bad,0.7,20,5,4,purity,rules,16,0.4099,0.0153,0.6489,25,0.0,-0.1126,0.0439,0.714,15.6,0.4266,0.2395,0.0136,-0.1185,0.0427,X_3=1 & X_5=0 | X_4=4 & X_6=1 & X_10=1 | X_1=6 & X_3=1 | X_5=0 & X_9=0 | X_4=4 & X_5=0 & X_9=1 | X_3=1 & X_11=3 & X_12=3,0.193
credit,bad,0.7,20,5,4,purity,rules,32,0.4966,0.0153,0.6288,25,0.0,-0.1911,0.0459,0.736,31.76,0.5242,0.3261,0.0196,-0.1993,0.0506,X_3=1 & X_5=0 | X_4=4 & X_6=1 & X_10=1 | X_1=6 & X_3=1 | X_5=0 & X_9=0 | X_4=4 & X_5=0 & X_9=1 | X_3=1 & X_11=3 & X_12=3 | X_4=3 & X_11=3 | X_8=2 & X_9=1 & X_11=2 | X_1=6 & X_9=0 | X_2=3 & X_5=0 | X_2=2 & X_4=4 & X_5=0 | X_1=2 & X_3=1 | X_1=2 & X_5=0 & X_6=1,0.193
credit,bad,0.7,20,5,4,purity,rules_pure,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.194
credit,bad,0.7,20,5,4,purity,rules_pure,2,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3=1 & X_5=0,0.194
credit,bad,0.7,20,5,4,purity,rules_pure,4,0.2332,0.014,0.705,25,0.6,0.0043,0.0224,0.799,4.0,0.2343,0.0681,0.0107,-0.038,0.0193,X_3=1 & X_5=0 | X_1=6 & X_3=1,0.194
credit,bad,0.7,20,5,4,purity,rules_pure,8,0.3115,0.0157,0.6843,25,0.4,-0.0268,0.0317,0.671,7.48,0.3184,0.1507,0.0149,-0.0313,0.026,X_3=1 & X_5=0 | X_4=4 & X_6=1 & X_10=1 | X_1=6 & X_9=0,0.194
credit,bad,0.7,20,5,4,purity,rules_pure,16,0.3842,0.0179,0.6675,25,0.12,-0.0657,0.0349,0.667,15.6,0.4018,0.2139,0.0166,-0.0716,0.0315,X_3=1 & X_5=0 | X_4=4 & X_6=1 & X_10=1 | X_1=6 & X_9=0 | X_1=6 & X_3=1 & X_6=1 | X_4=4 & X_5=0 & X_9=1 | X_1=2 & X_9=0,0.194
credit,bad,0.7,20,5,4,purity,rules_pure,32,0.4438,0.0176,0.6464,25,0.04,-0.1259,0.044,0.664,31.52,0.4836,0.2733,0.0187,-0.1341,0.0423,X_3=1 & X_5=0 | X_4=4 & X_6=1 & X_10=1 | X_1=6 & X_9=0 | X_1=6 & X_3=1 & X_6=1 | X_4=4 & X_5=0 & X_9=1 | X_1=2 & X_9=0 | X_3=1 & X_11=3 & X_12=3 & X_13=0 | X_8=2 & X_9=1 & X_11=2 | X_4=3 & X_11=3 | X_5=0 & X_9=1 & X_11=3 | X_7=2 & X_9=1 & X_11=3,0.194
credit,bad,0.7,20,5,4,purity,rules_disjoint,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.196
credit,bad,0.7,20,5,4,purity,rules_disjoint,2,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3=1 & X_5=0,0.196
credit,bad,0.7,20,5,4,purity,rules_disjoint,4,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,X_3=1 & X_5=0,0.196
credit,bad,0.7,20,5,4,purity,rules_disjoint,8,0.219,0.0125,0.7312,25,0.72,0.0295,0.0196,0.776,6.4,0.2221,0.0582,0.0096,0.0251,0.0259,X_3=1 & X_5=0 | X_3=0 & X_4=4 & X_8=2 | X_1=6 & X_3=1 & X_5=1,0.196
credit,bad,0.7,20,5,4,purity,rules_disjoint,16,0.2671,0.0134,0.7149,25,0.64,0.0171,0.0268,0.713,14.52,0.2843,0.0968,0.0115,0.0112,0.0278,X_3=1 & X_5=0 | X_3=0 & X_4=4 & X_8=2 | X_1=6 & X_3=1 & X_5=1 | X_1=2 & X_3=0 & X_9=0 | X_1=6 & X_3=0 & X_4=2 & X_9=0,0.196
credit,bad,0.7,20,5,4,purity,rules_disjoint,32,0.297,0.0136,0.7065,25,0.6,0.0067,0.027,0.677,21.92,0.3187,0.1265,0.013,-0.0015,0.0319,X_3=1 & X_5=0 | X_3=0 & X_4=4 & X_8=2 | X_1=6 & X_3=1 & X_5=1 | X_1=2 & X_3=0 & X_9=0 | X_1=6 & X_3=0 & X_4=2 & X_9=0 | X_1=6 & X_3=1 & X_5=2 & X_10=1 | X_3=0 & X_4=4 & X_6=1 & X_8=1,0.196
credit,bad,0.7,20,5,4,purity,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.092
credit,bad,0.7,20,5,4,purity,tree,2,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,entropy-None-depth2-leaf3,0.092
credit,bad,0.7,20,5,4,purity,tree,4,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0,0.0,0.0,0.0,entropy-None-depth2-leaf3,0.092
credit,bad,0.7,20,5,4,purity,tree,8,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,0.0043,0.0081,0.0378,0.0288,entropy-None-depth2-leaf3,0.092
credit,bad,0.7,20,5,4,purity,tree,16,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,-0.0053,0.0082,0.0364,0.0236,entropy-None-depth2-leaf3,0.092
credit,bad,0.7,20,5,4,purity,tree,32,0.1651,0.0096,0.7597,25,0.92,0.0422,0.0186,1.0,2.0,0.1651,-0.0054,0.0113,0.034,0.0264,entropy-None-depth2-leaf3,0.092
credit,bad,0.7,20,5,4,certified,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.504
credit,bad,0.7,20,5,4,certified,vsf,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.504
