dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
hmda,yes,0.5,20,5,4,purity,vsf,1,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,0.0,0.0,0.0,0.0,X_5#1,0.106
hmda,yes,0.5,20,5,4,purity,vsf,2,0.1754,0.0253,0.5823,25,0.56,0.0154,0.049,0.604,1.72,0.1996,0.0,0.0,0.0,0.0,X_2+X_3#3,0.106
hmda,yes,0.5,20,5,4,purity,vsf,4,0.1888,0.0295,0.5392,25,0.64,0.0119,0.0409,0.589,2.76,0.21,0.0,0.0,0.0,0.0,X_3+X_11#7 | X_3+X_11#6,0.106
hmda,yes,0.5,20,5,4,purity,vsf,8,0.1951,0.0261,0.5232,25,0.64,0.0126,0.0374,0.572,4.08,0.2172,0.0,0.0,0.0,0.0,X_3+X_11#7 | X_3+X_11#6,0.106
hmda,yes,0.5,20,5,4,purity,vsf,16,0.1895,0.026,0.5185,25,0.6,0.0105,0.0372,0.557,5.24,0.2198,0.0,0.0,0.0,0.0,X_3+X_5+X_6+X_7#4 | X_3+X_5+X_6+X_7#9 | X_3+X_5+X_6+X_7#11 | X_3+X_5+X_6+X_7#10,0.106
hmda,yes,0.5,20,5,4,purity,vsf,32,0.1895,0.026,0.5185,25,0.6,0.0105,0.0372,0.557,5.24,0.2198,0.0,0.0,0.0,0.0,X_3+X_5+X_6+X_7#4 | X_3+X_5+X_6+X_7#9 | X_3+X_5+X_6+X_7#11 | X_3+X_5+X_6+X_7#10,0.106
hmda,yes,0.5,20,5,4,purity,vsf_partial,1,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,0.0,0.0,0.0,0.0,X_5#1,0.288
hmda,yes,0.5,20,5,4,purity,vsf_partial,2,0.1754,0.0253,0.5823,25,0.56,0.0154,0.049,0.604,1.72,0.1996,0.0,0.0,0.0,0.0,X_2+X_3#3,0.288
hmda,yes,0.5,20,5,4,purity,vsf_partial,4,0.2526,0.0333,0.6879,25,0.96,0.1368,0.0446,0.718,4.0,0.2804,0.0639,0.0339,0.1249,0.033,X_5#1 | X_1+X_3+X_5#20,0.288
hmda,yes,0.5,20,5,4,purity,vsf_partial,8,0.2926,0.0296,0.6453,25,0.88,0.1221,0.054,0.648,6.84,0.3202,0.0975,0.0284,0.1095,0.0434,X_5#1 | X_1+X_3+X_5#20 | X_1+X_5+X_7#16,0.288
hmda,yes,0.5,20,5,4,purity,vsf_partial,16,0.2926,0.0296,0.6453,25,0.88,0.1221,0.054,0.648,6.84,0.3202,0.1032,0.0268,0.1116,0.0464,X_5#1 | X_1+X_3+X_5#20 | X_1+X_5+X_7#16,0.288
hmda,yes,0.5,20,5,4,purity,vsf_partial,32,0.2926,0.0296,0.6453,25,0.88,0.1221,0.054,0.648,6.84,0.3202,0.1032,0.0268,0.1116,0.0464,X_5#1 | X_1+X_3+X_5#20 | X_1+X_5+X_7#16,0.288
hmda,yes,0.5,20,5,4,purity,vsf_greedy,1,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,0.0,0.0,0.0,0.0,X_5#1,0.014
hmda,yes,0.5,20,5,4,purity,vsf_greedy,2,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,-0.0211,0.0289,0.1249,0.0548,X_5#1,0.014
hmda,yes,0.5,20,5,4,purity,vsf_greedy,4,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,-0.0344,0.0323,0.1284,0.0475,X_5#1,0.014
hmda,yes,0.5,20,5,4,purity,vsf_greedy,8,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,-0.0407,0.0339,0.1277,0.0458,X_5#1,0.014
hmda,yes,0.5,20,5,4,purity,vsf_greedy,16,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,-0.0351,0.0336,0.1298,0.0469,X_5#1,0.014
hmda,yes,0.5,20,5,4,purity,vsf_greedy,32,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,-0.0351,0.0336,0.1298,0.0469,X_5#1,0.014
hmda,yes,0.5,20,5,4,purity,rules,1,0.1544,0.0245,0.9079,25,1.0,0.1404,0.0277,1.0,1.0,0.1544,0.0,0.0,0.0,0.0,X_5=1,0.236
hmda,yes,0.5,20,5,4,purity,rules,2,0.1754,0.0253,0.5823,25,0.56,0.0154,0.049,0.604,1.72,0.1996,0.0,0.0,0.0,0.0,X_2=1 & X_3=1,0.236
hmda,yes,0.5,20,5,4,purity,rules,4,0.3039,0.0308,0.6278,25,0.96,0.113,0.0391,0.807,3.0,0.3193,0.1151,0.026,0.1011,0.0244,X_5=1 | X_2=1 & X_3=1,0.236
