dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
mlc_churn,yes,0.7,20,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.118
mlc_churn,yes,0.7,20,5,4,purity,vsf,2,0.1084,0.0143,0.8251,25,0.76,0.0497,0.0434,0.549,2.0,0.1321,0.0,0.0,0.0,0.0,X_5+X_11#4,0.118
mlc_churn,yes,0.7,20,5,4,purity,vsf,4,0.1166,0.0195,0.7732,25,0.6,0.0168,0.0532,0.376,2.16,0.147,0.0,0.0,0.0,0.0,X_5+X_11#4,0.118
mlc_churn,yes,0.7,20,5,4,purity,vsf,8,0.1109,0.0186,0.7363,25,0.52,-0.002,0.0491,0.291,2.88,0.1478,0.0,0.0,0.0,0.0,X_5+X_11#4,0.118
mlc_churn,yes,0.7,20,5,4,purity,vsf,16,0.1601,0.0164,0.746,25,0.76,0.0234,0.0387,0.449,10.04,0.1753,0.0,0.0,0.0,0.0,X_3+X_5+X_6+X_7#63 | X_3+X_5+X_6+X_7#62 | X_3+X_5+X_6+X_7#61,0.118
mlc_churn,yes,0.7,20,5,4,purity,vsf,32,0.1598,0.0166,0.7511,25,0.76,0.0258,0.0392,0.411,10.28,0.1762,0.0,0.0,0.0,0.0,X_3+X_5+X_6+X_7#63 | X_3+X_5+X_6+X_7#62 | X_3+X_5+X_6+X_7#61,0.118
mlc_churn,yes,0.7,20,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.227
mlc_churn,yes,0.7,20,5,4,purity,vsf_partial,2,0.1084,0.0143,0.8251,25,0.76,0.0497,0.0434,0.549,2.0,0.1321,0.0,0.0,0.0,0.0,X_5+X_11#4,0.227
mlc_churn,yes,0.7,20,5,4,purity,vsf_partial,4,0.1477,0.037,0.7845,25,0.68,0.0401,0.0561,0.411,2.6,0.1706,0.0311,0.032,0.0232,0.0406,X_5+X_11#4,0.227
mlc_churn,yes,0.7,20,5,4,purity,vsf_partial,8,0.2284,0.0328,0.7835,25,0.8,0.0725,0.0431,0.504,6.12,0.2556,0.1174,0.0274,0.0745,0.0412,X_5+X_11#4 | X_3+X_5+X_6+X_11#76,0.227
mlc_churn,yes,0.7,20,5,4,purity,vsf_partial,16,0.2465,0.0289,0.8012,25,0.84,0.0952,0.0474,0.537,8.8,0.2812,0.0863,0.033,0.0718,0.0492,X_5+X_11#4 | X_3+X_5+X_6+X_11#76 | X_5+X_6+X_11#29,0.227
mlc_churn,yes,0.7,20,5,4,purity,vsf_partial,32,0.2465,0.0289,0.8012,25,0.84,0.0952,0.0474,0.537,8.8,0.2812,0.0866,0.0329,0.0695,0.0503,X_5+X_11#4 | X_3+X_5+X_6+X_11#76 | X_5+X_6+X_11#29,0.227
mlc_churn,yes,0.7,20,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
mlc_churn,yes,0.7,20,5,4,purity,vsf_greedy,2,0.1287,0.0184,0.9353,25,1.0,0.1089,0.0219,1.0,2.0,0.1287,0.0204,0.0193,0.0593,0.05,X_5+X_11#4,0.019
mlc_churn,yes,0.7,20,5,4,purity,vsf_greedy,4,0.1287,0.0184,0.9353,25,1.0,0.1089,0.0219,1.0,2.0,0.1287,0.0121,0.0242,0.0921,0.0557,X_5+X_11#4,0.019
mlc_churn,yes,0.7,20,5,4,purity,vsf_greedy,8,0.1287,0.0184,0.9353,25,1.0,0.1089,0.0219,1.0,2.0,0.1287,0.0178,0.0276,0.1109,0.0539,X_5+X_11#4,0.019
