dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
mushroom,poisonous,0.9,1,2,4,purity,vsf,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12#2,1.678
mushroom,poisonous,0.9,1,2,4,purity,vsf,2,0.7785,0.0324,0.9274,10,0.6,0.1866,0.2135,0.816,2.0,0.7797,0.0,0.0,0.0,0.0,X_4+X_7#2,1.678
mushroom,poisonous,0.9,1,2,4,purity,vsf,4,0.9111,0.0042,1.0,10,1.0,0.9111,0.0042,1.0,4.0,0.9111,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7,1.678
mushroom,poisonous,0.9,1,2,4,purity,vsf,8,0.9694,0.0045,1.0,10,1.0,0.9694,0.0045,1.0,6.0,0.9694,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_5#5,1.678
mushroom,poisonous,0.9,1,2,4,purity,vsf,16,0.9714,0.0045,1.0,10,1.0,0.9714,0.0045,1.0,14.0,0.9714,0.0,0.0,0.0,0.0,X_5+X_16#4 | X_5+X_16#11 | X_5+X_16#3 | X_5+X_16#10 | X_5+X_16#2 | X_5+X_16#5 | X_5+X_16#9,1.678
mushroom,poisonous,0.9,1,2,4,purity,vsf,32,0.986,0.002,1.0,10,1.0,0.986,0.002,0.992,23.6,0.9878,0.0,0.0,0.0,0.0,X_5+X_19#9 | X_5+X_19#10 | X_5+X_19#22 | X_5+X_19#8 | X_5+X_19#21 | X_5+X_19#20 | X_5+X_19#7 | X_5+X_19#6 | X_5+X_19#16 | X_5+X_19#11,1.678
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12#2,27.045
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,2,0.8458,0.0076,0.9857,10,1.0,0.7354,0.0271,1.0,2.0,0.8458,0.0673,0.0344,0.5488,0.2052,X_9#2 | X_19#3,27.045
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,4,0.9111,0.0042,0.9867,10,1.0,0.8008,0.026,1.0,4.0,0.9111,0.0,0.0,-0.1103,0.024,X_9#2 | X_19#3 | X_4+X_11#2,27.045
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,8,0.994,0.0016,0.9991,10,1.0,0.986,0.0101,0.997,8.0,0.9944,0.0246,0.0041,0.0166,0.0113,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_19#4 | X_5#5 | X_15#8,27.045
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,16,1.0,0.0,0.9761,10,1.0,0.7794,0.0181,1.0,15.0,1.0,0.0286,0.0045,-0.192,0.0185,X_19#3 | X_8+X_19#12 | X_4+X_11#2 | X_19#4 | X_4+X_11+X_19#14 | X_4+X_11+X_19#13 | X_4+X_8+X_11#7,27.045
mushroom,poisonous,0.9,1,2,4,purity,vsf_partial,32,1.0,0.0,0.9761,10,1.0,0.7794,0.0181,1.0,15.0,1.0,0.014,0.002,-0.2066,0.0175,X_19#3 | X_8+X_19#12 | X_4+X_11#2 | X_19#4 | X_4+X_11+X_19#14 | X_4+X_11+X_19#13 | X_4+X_8+X_11#7,27.045
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,1,0.5516,0.012,1.0,10,1.0,0.5516,0.012,1.0,1.0,0.5516,-0.0174,0.0062,0.3136,0.0234,X_5#4,0.036
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,2,0.6915,0.0084,1.0,10,1.0,0.6915,0.0084,0.814,2.0,0.7005,-0.087,0.0361,0.5049,0.2093,X_5#4 | X_5#8,0.036
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,4,0.9111,0.0042,1.0,10,1.0,0.9111,0.0042,1.0,4.0,0.9111,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7,0.036
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,8,0.9694,0.0045,1.0,10,1.0,0.9694,0.0045,1.0,6.0,0.9694,0.0,0.0,0.0,0.0,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_5#5,0.036
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,16,0.9694,0.0045,1.0,10,1.0,0.9694,0.0045,1.0,6.0,0.9694,-0.002,0.0006,-0.002,0.0006,X_5#4 | X_5#8 | X_5#3 | X_5#7 | X_5#2 | X_5#5,0.036
mushroom,poisonous,0.9,1,2,4,purity,vsf_greedy,32,0.9877,0.0022,1.0,10,1.0,0.9877,0.0022,1.0,20.0,0.9877,0.0018,0.0018,0.0018,0.0018,X_5+X_19#9 | X_5+X_19#10 | X_5+X_19#22 | X_5+X_19#8 | X_5+X_19#21 | X_5+X_19#20 | X_5+X_19#7 | X_5+X_19#6 | X_5+X_19#16 | X_5+X_19#11,0.036
mushroom,poisonous,0.9,1,2,4,purity,rules,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12=2,7.43
mushroom,poisonous,0.9,1,2,4,purity,rules,2,0.8069,0.0086,0.9143,10,0.6,0.1163,0.148,0.925,2.0,0.8067,0.0285,0.0274,-0.0703,0.0678,X_4=1 & X_7=0,7.43
mushroom,poisonous,0.9,1,2,4,purity,rules,4,0.9285,0.0047,0.9619,10,1.0,0.5976,0.0236,1.0,4.0,0.9285,0.0174,0.0028,-0.3136,0.0233,X_12=2 | X_9=2 | X_5=4 | X_5=7,7.43
mushroom,poisonous,0.9,1,2,4,purity,rules,8,0.9996,0.0005,0.9567,10,1.0,0.5917,0.0394,0.994,8.0,0.9997,0.0303,0.0041,-0.3777,0.0408,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.43
mushroom,poisonous,0.9,1,2,4,purity,rules,16,1.0,0.0,0.9567,10,1.0,0.5921,0.0396,0.995,8.3,1.0,0.0286,0.0045,-0.3793,0.0413,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.43
mushroom,poisonous,0.9,1,2,4,purity,rules,32,1.0,0.0,0.9567,10,1.0,0.5921,0.0396,0.995,8.3,1.0,0.014,0.002,-0.3939,0.0398,X_12=2 | X_9=2 | X_5=4 | X_5=7 | X_5=2 | X_19=4 | X_6=1 & X_21=1,7.43
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,1,0.5689,0.0089,0.9393,10,1.0,0.238,0.0212,1.0,1.0,0.5689,0.0,0.0,0.0,0.0,X_12=2,7.436
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,2,0.8069,0.0086,0.9143,10,0.6,0.1163,0.148,0.925,2.0,0.8067,0.0285,0.0274,-0.0703,0.0678,X_4=1 & X_7=0,7.436
mushroom,poisonous,0.9,1,2,4,purity,rules_pure,4,0.9285,0.0047,0.9619,10,1.0,0.5976,0.0236,1.0,4.0,0.9285,0.0174,0.0028,-0.3136,0.0233,X_12=2 | X_9=2 | X_5=4 | X_5=7,7.436
