dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
nursery,spec_prior,0.9,1,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.032
nursery,spec_prior,0.9,1,5,4,purity,vsf,2,0.2114,0.0066,0.9896,25,1.0,0.1914,0.0105,1.0,2.0,0.2114,0.0,0.0,0.0,0.0,X_2+X_8#13,0.032
nursery,spec_prior,0.9,1,5,4,purity,vsf,4,0.2114,0.0066,0.9896,25,1.0,0.1914,0.0105,1.0,2.0,0.2114,0.0,0.0,0.0,0.0,X_2+X_8#13,0.032
nursery,spec_prior,0.9,1,5,4,purity,vsf,8,0.21,0.0072,0.9871,25,1.0,0.1855,0.0161,0.947,2.16,0.2115,0.0,0.0,0.0,0.0,X_2+X_8#13,0.032
nursery,spec_prior,0.9,1,5,4,purity,vsf,16,0.34,0.0078,0.9891,25,1.0,0.3061,0.0123,0.692,15.0,0.3553,0.0,0.0,0.0,0.0,X_2+X_5+X_8#41 | X_2+X_5+X_8#40 | X_2+X_5+X_8#43 | X_2+X_5+X_8#4 | X_2+X_5+X_8#37,0.032
nursery,spec_prior,0.9,1,5,4,purity,vsf,32,0.4228,0.0098,0.9896,25,1.0,0.3828,0.0147,1.0,18.0,0.4228,0.0,0.0,0.0,0.0,X_1+X_2+X_8#28 | X_1+X_2+X_8#1 | X_1+X_2+X_8#4 | X_1+X_2+X_8#16 | X_1+X_2+X_8#13 | X_1+X_2+X_8#43,0.032
nursery,spec_prior,0.9,1,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.085
nursery,spec_prior,0.9,1,5,4,purity,vsf_partial,2,0.2114,0.0066,0.9896,25,1.0,0.1914,0.0105,1.0,2.0,0.2114,0.0,0.0,0.0,0.0,X_2+X_8#13,0.085
nursery,spec_prior,0.9,1,5,4,purity,vsf_partial,4,0.2114,0.0066,0.9896,25,1.0,0.1914,0.0105,1.0,2.0,0.2114,0.0,0.0,0.0,0.0,X_2+X_8#13,0.085
nursery,spec_prior,0.9,1,5,4,purity,vsf_partial,8,0.3741,0.0082,0.9709,25,1.0,0.2735,0.0189,0.825,8.0,0.382,0.1641,0.0061,0.088,0.0181,X_2+X_8#13 | X_2+X_6+X_8#4 | X_2+X_7+X_8#41,0.085
