dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
resume,yes,0.3,20,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.534
resume,yes,0.3,20,5,4,purity,vsf,2,0.0031,0.0041,0.0625,8,0.0,-0.012,0.0111,0.061,0.64,0.0085,0.0,0.0,0.0,0.0,,0.534
resume,yes,0.3,20,5,4,purity,vsf,4,0.0219,0.0085,0.1194,25,0.04,-0.059,0.0191,0.086,3.92,0.0663,0.0,0.0,0.0,0.0,X_4+X_11+X_13+X_14#7,0.534
resume,yes,0.3,20,5,4,purity,vsf,8,0.0347,0.0113,0.1449,25,0.08,-0.0554,0.0186,0.125,7.12,0.082,0.0,0.0,0.0,0.0,X_4+X_11+X_13+X_14#7,0.534
resume,yes,0.3,20,5,4,purity,vsf,16,0.0362,0.0113,0.1487,25,0.08,-0.0554,0.019,0.132,7.88,0.0855,0.0,0.0,0.0,0.0,X_4+X_11+X_13+X_14#7,0.534
resume,yes,0.3,20,5,4,purity,vsf,32,0.0362,0.0113,0.1487,25,0.08,-0.0554,0.019,0.132,7.88,0.0855,0.0,0.0,0.0,0.0,X_4+X_11+X_13+X_14#7,0.534
resume,yes,0.3,20,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.731
resume,yes,0.3,20,5,4,purity,vsf_partial,2,0.0031,0.0041,0.0625,8,0.0,-0.012,0.0111,0.061,0.64,0.0085,0.0,0.0,0.0,0.0,,0.731
resume,yes,0.3,20,5,4,purity,vsf_partial,4,0.0219,0.0085,0.1194,25,0.04,-0.059,0.0191,0.086,3.92,0.0663,0.0,0.0,0.0,0.0,X_4+X_11+X_13+X_14#7,0.731
resume,yes,0.3,20,5,4,purity,vsf_partial,8,0.0418,0.0107,0.1573,25,0.0,-0.0575,0.0186,0.106,6.52,0.0879,0.0071,0.0117,-0.002,0.0124,X_4+X_11+X_13+X_14#7,0.731
resume,yes,0.3,20,5,4,purity,vsf_partial,16,0.0398,0.0128,0.1348,25,0.04,-0.0693,0.0234,0.103,9.8,0.0996,0.0036,0.018,-0.0139,0.0208,X_4+X_11+X_13+X_14#7,0.731
resume,yes,0.3,20,5,4,purity,vsf_partial,32,0.0398,0.0128,0.1348,25,0.04,-0.0693,0.0234,0.103,9.8,0.0996,0.0036,0.018,-0.0139,0.0208,X_4+X_11+X_13+X_14#7,0.731
resume,yes,0.3,20,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009
resume,yes,0.3,20,5,4,purity,vsf_greedy,2,0.001,0.0027,0.1053,1,0.0,-0.0027,0.0072,0.0,0.08,0.0012,-0.002,0.0033,0.0094,0.0092,,0.009
