dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
splice,site_b,0.9,20,1,3,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.25
splice,site_b,0.9,20,1,3,purity,vsf,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.25
splice,site_b,0.9,20,1,3,purity,vsf,4,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.25
splice,site_b,0.9,20,1,3,purity,vsf,8,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.25
splice,site_b,0.9,20,1,3,purity,vsf,16,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.25
splice,site_b,0.9,20,1,3,purity,vsf,32,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.25
splice,site_b,0.9,20,1,3,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.356
splice,site_b,0.9,20,1,3,purity,vsf_partial,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.356
splice,site_b,0.9,20,1,3,purity,vsf_partial,4,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.356
splice,site_b,0.9,20,1,3,purity,vsf_partial,8,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.356
splice,site_b,0.9,20,1,3,purity,vsf_partial,16,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.356
splice,site_b,0.9,20,1,3,purity,vsf_partial,32,0.0039,0.0058,0.5,1,0.0,-0.0312,0.0468,0.0,0.6,0.0065,0.0,0.0,0.0,0.0,,1.356
splice,site_b,0.9,20,1,3,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.013
splice,site_b,0.9,20,1,3,purity,vsf_greedy,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.013
splice,site_b,0.9,20,1,3,purity,vsf_greedy,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.0039,0.0058,0.0312,0.0468,,0.013
splice,site_b,0.9,20,1,3,purity,vsf_greedy,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.0039,0.0058,0.0312,0.0468,,0.013
