dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
splice_junction,EI,0.9,1,1,2,purity,vsf,1,0.0026,0.0024,0.6667,3,0.667,-0.0092,0.0188,0.68,1.0,0.0039,0.0,0.0,0.0,0.0,X_50#3,0.099
splice_junction,EI,0.9,1,1,2,purity,vsf,2,0.0026,0.0024,0.6667,3,0.667,-0.0092,0.0188,0.68,1.0,0.0039,0.0,0.0,0.0,0.0,X_50#3,0.099
splice_junction,EI,0.9,1,1,2,purity,vsf,4,0.0013,0.002,0.5,2,0.5,-0.0105,0.0182,0.51,1.6,0.0042,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.099
splice_junction,EI,0.9,1,1,2,purity,vsf,8,0.0,0.0,,0,,0.0,0.0,0.5,5.6,0.0055,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.099
splice_junction,EI,0.9,1,1,2,purity,vsf,16,0.0,0.0,,0,,0.0,0.0,0.5,5.6,0.0055,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.099
splice_junction,EI,0.9,1,1,2,purity,vsf,32,0.0,0.0,,0,,0.0,0.0,0.5,5.6,0.0055,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.099
splice_junction,EI,0.9,1,1,2,purity,vsf_greedy,1,0.0026,0.0024,0.6667,3,0.667,-0.0092,0.0188,0.68,1.0,0.0039,0.0,0.0,0.0,0.0,X_50#3,0.015
splice_junction,EI,0.9,1,1,2,purity,vsf_greedy,2,0.0026,0.0024,0.6667,3,0.667,-0.0092,0.0188,0.68,1.0,0.0039,0.0,0.0,0.0,0.0,X_50#3,0.015
splice_junction,EI,0.9,1,1,2,purity,vsf_greedy,4,0.0013,0.002,0.5,2,0.5,-0.0105,0.0182,0.51,1.6,0.0042,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.015
splice_junction,EI,0.9,1,1,2,purity,vsf_greedy,8,0.0,0.0,,0,,0.0,0.0,0.5,5.6,0.0055,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.015
splice_junction,EI,0.9,1,1,2,purity,vsf_greedy,16,0.0,0.0,,0,,0.0,0.0,0.5,5.6,0.0055,0.0,0.0,0.0,0.0,X_38+X_50#7 | X_38+X_50#13,0.015
