dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
synthetic_grid,yes,0.9,5,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.004
synthetic_grid,yes,0.9,5,5,4,purity,vsf,2,0.4669,0.0309,0.9597,25,1.0,0.2875,0.0671,0.92,2.0,0.4778,0.0,0.0,0.0,0.0,X_1+X_2#4,0.004
synthetic_grid,yes,0.9,5,5,4,purity,vsf,4,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.004
synthetic_grid,yes,0.9,5,5,4,purity,vsf,8,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.004
synthetic_grid,yes,0.9,5,5,4,purity,vsf,16,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.004
synthetic_grid,yes,0.9,5,5,4,purity,vsf,32,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.004
synthetic_grid,yes,0.9,5,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.003
synthetic_grid,yes,0.9,5,5,4,purity,vsf_greedy,2,0.4669,0.0309,0.9597,25,1.0,0.2875,0.0671,0.92,2.0,0.4778,0.0,0.0,0.0,0.0,X_1+X_2#4,0.003
synthetic_grid,yes,0.9,5,5,4,purity,vsf_greedy,4,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.003
synthetic_grid,yes,0.9,5,5,4,purity,vsf_greedy,8,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.003
synthetic_grid,yes,0.9,5,5,4,purity,vsf_greedy,16,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.003
synthetic_grid,yes,0.9,5,5,4,purity,vsf_greedy,32,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1+X_2#4 | X_1+X_2#0,0.003
synthetic_grid,yes,0.9,5,5,4,purity,rules,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01
synthetic_grid,yes,0.9,5,5,4,purity,rules,2,0.4669,0.0309,0.9597,25,1.0,0.2875,0.0671,0.92,2.0,0.4778,0.0,0.0,0.0,0.0,X_1=1 & X_2=1,0.01
synthetic_grid,yes,0.9,5,5,4,purity,rules,4,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.01
synthetic_grid,yes,0.9,5,5,4,purity,rules,8,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.01
synthetic_grid,yes,0.9,5,5,4,purity,rules,16,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.01
synthetic_grid,yes,0.9,5,5,4,purity,rules,32,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.01
synthetic_grid,yes,0.9,5,5,4,purity,rules_pure,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009
synthetic_grid,yes,0.9,5,5,4,purity,rules_pure,2,0.4669,0.0309,0.9597,25,1.0,0.2875,0.0671,0.92,2.0,0.4778,0.0,0.0,0.0,0.0,X_1=1 & X_2=1,0.009
synthetic_grid,yes,0.9,5,5,4,purity,rules_pure,4,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.009
synthetic_grid,yes,0.9,5,5,4,purity,rules_pure,8,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.009
synthetic_grid,yes,0.9,5,5,4,purity,rules_pure,16,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.009
synthetic_grid,yes,0.9,5,5,4,purity,rules_pure,32,0.9133,0.0178,0.9615,25,1.0,0.5815,0.0917,1.0,4.0,0.9132,0.0,0.0,0.0,0.0,X_1=1 & X_2=1 | X_1=0 & X_2=0,0.009
synthetic_grid,yes,0.9,5,5,4,purity,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.068
synthetic_grid,yes,0.9,5,5,4,purity,tree,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.4669,0.0309,-0.2875,0.0671,,0.068
synthetic_grid,yes,0.9,5,5,4,purity,tree,4,0.0333,0.0621,0.9393,2,1.0,0.0138,0.0266,0.021,0.32,0.0394,-0.88,0.0645,-0.5677,0.098,,0.068
synthetic_grid,yes,0.9,5,5,4,purity,tree,8,0.0731,0.1362,0.9548,2,1.0,0.0419,0.0782,0.021,0.64,0.0731,-0.8402,0.1373,-0.5396,0.1264,,0.068
synthetic_grid,yes,0.9,5,5,4,purity,tree,16,0.0731,0.1362,0.9548,2,1.0,0.0419,0.0782,0.021,0.64,0.0731,-0.8402,0.1373,-0.5396,0.1264,,0.068
synthetic_grid,yes,0.9,5,5,4,purity,tree,32,0.0731,0.1362,0.9548,2,1.0,0.0419,0.0782,0.021,0.64,0.0731,-0.8402,0.1373,-0.5396,0.1264,,0.068
synthetic_grid,yes,0.9,5,5,4,certified,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.018
synthetic_grid,yes,0.9,5,5,4,certified,vsf,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.018
synthetic_grid,yes,0.9,5,5,4,certified,vsf,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.018
synthetic_grid,yes,0.9,5,5,4,certified,vsf,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.018
synthetic_grid,yes,0.9,5,5,4,certified,vsf,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.018
synthetic_grid,yes,0.9,5,5,4,certified,vsf,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.018
synthetic_grid,yes,0.9,5,5,4,certified,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,vsf_greedy,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,vsf_greedy,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,vsf_greedy,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,vsf_greedy,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,vsf_greedy,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,rules,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,rules,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,rules,4,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,rules,8,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,rules,16,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
synthetic_grid,yes,0.9,5,5,4,certified,rules,32,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019
