dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.005
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf,2,0.4527,0.0276,0.9489,25,0.92,0.2277,0.0938,0.682,2.0,0.4874,0.0,0.0,0.0,0.0,X_1+X_2#0,0.005
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf,4,0.4527,0.0276,0.9489,25,0.92,0.2277,0.0938,0.682,2.0,0.4874,0.0,0.0,0.0,0.0,X_1+X_2#0,0.005
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf,8,0.4527,0.0276,0.9489,25,0.92,0.2277,0.0938,0.682,2.0,0.4874,0.0,0.0,0.0,0.0,X_1+X_2#0,0.005
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf,16,0.4527,0.0276,0.9489,25,0.92,0.2277,0.0938,0.682,2.0,0.4874,0.0,0.0,0.0,0.0,X_1+X_2#0,0.005
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf,32,0.4027,0.0227,0.9482,25,0.92,0.2023,0.0904,0.545,20.0,0.498,0.0,0.0,0.0,0.0,X_1+X_2+X_3+X_4#63 | X_1+X_2+X_3+X_4#4 | X_1+X_2+X_3+X_4#72 | X_1+X_2+X_3+X_4#5 | X_1+X_2+X_3+X_4#8 | X_1+X_2+X_3+X_4#27 | X_1+X_2+X_3+X_4#36 | X_1+X_2+X_3+X_4#2,0.005
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.003
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf_greedy,2,0.4573,0.0265,0.9491,25,0.92,0.2323,0.0947,0.637,2.0,0.4848,0.0045,0.0201,0.0045,0.0214,X_3+X_4#0,0.003
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf_greedy,4,0.4573,0.0265,0.9491,25,0.92,0.2323,0.0947,0.637,2.0,0.4848,0.0045,0.0201,0.0045,0.0214,X_3+X_4#0,0.003
synthetic_two_rules,yes,0.9,5,5,4,purity,vsf_greedy,8,0.4573,0.0265,0.9491,25,0.92,0.2323,0.0947,0.637,2.0,0.4848,0.0045,0.0201,0.0045,0.0214,X_3+X_4#0,0.003
