dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.014
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf,2,0.4828,0.0102,0.9726,25,1.0,0.3601,0.0222,1.0,2.0,0.4828,0.0,0.0,0.0,0.0,X_1+X_2#0,0.014
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf,4,0.4828,0.0102,0.9726,25,1.0,0.3601,0.0222,1.0,2.0,0.4828,0.0,0.0,0.0,0.0,X_1+X_2#0,0.014
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf,8,0.4828,0.0102,0.9726,25,1.0,0.3601,0.0222,1.0,2.0,0.4828,0.0,0.0,0.0,0.0,X_1+X_2#0,0.014
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf,16,0.4828,0.0102,0.9726,25,1.0,0.3601,0.0222,1.0,2.0,0.4828,0.0,0.0,0.0,0.0,X_1+X_2#0,0.014
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf,32,0.4828,0.0102,0.9726,25,1.0,0.3601,0.0222,1.0,2.0,0.4828,0.0,0.0,0.0,0.0,X_1+X_2#0,0.014
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf_greedy,2,0.4634,0.0108,0.9721,25,1.0,0.3431,0.0222,0.515,2.0,0.4745,-0.0195,0.0185,-0.017,0.0186,X_3+X_4#0,0.01
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf_greedy,4,0.4634,0.0108,0.9721,25,1.0,0.3431,0.0222,0.515,2.0,0.4745,-0.0195,0.0185,-0.017,0.0186,X_3+X_4#0,0.01
synthetic_two_rules_n20000,yes,0.9,5,5,4,purity,vsf_greedy,8,0.4634,0.0108,0.9721,25,1.0,0.3431,0.0222,0.515,2.0,0.4745,-0.0195,0.0185,-0.017,0.0186,X_3+X_4#0,0.01
