dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
synthetic_xor,yes,0.9,5,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf,2,0.4733,0.0192,0.941,25,0.88,0.2045,0.0786,0.78,2.0,0.4884,0.0,0.0,0.0,0.0,X_1+X_2#2,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf,4,0.9587,0.0086,0.9405,25,1.0,0.4106,0.0813,1.0,4.0,0.9587,0.0,0.0,0.0,0.0,X_1+X_2#2 | X_1+X_2#1,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf,8,0.9587,0.0086,0.9405,25,1.0,0.4106,0.0813,1.0,4.0,0.9587,0.0,0.0,0.0,0.0,X_1+X_2#2 | X_1+X_2#1,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf,16,0.9587,0.0086,0.9405,25,1.0,0.4106,0.0813,1.0,4.0,0.9587,0.0,0.0,0.0,0.0,X_1+X_2#2 | X_1+X_2#1,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf,32,0.9587,0.0086,0.9405,25,1.0,0.4106,0.0813,1.0,4.0,0.9587,0.0,0.0,0.0,0.0,X_1+X_2#2 | X_1+X_2#1,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf_greedy,2,0.071,0.0897,0.9233,4,0.5,0.0179,0.05,0.033,0.32,0.0789,-0.4022,0.0979,-0.1866,0.0755,,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf_greedy,4,0.2731,0.1755,0.9278,19,0.789,0.1067,0.0957,0.25,2.6,0.2908,-0.6857,0.1734,-0.3038,0.0965,X_1+X_2+X_3#5,0.004
synthetic_xor,yes,0.9,5,5,4,purity,vsf_greedy,8,0.398,0.1733,0.9348,19,0.895,0.1627,0.1009,0.294,4.56,0.4174,-0.5608,0.1724,-0.2479,0.0898,X_1+X_2+X_3#5 | X_1+X_2+X_3#3,0.004
