dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf,2,0.4805,0.0068,0.9519,25,1.0,0.2623,0.0164,0.92,2.0,0.4828,0.0,0.0,0.0,0.0,X_1+X_2#1,0.015
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf,4,0.9566,0.0024,0.9497,25,1.0,0.5008,0.0217,1.0,4.0,0.9566,0.0,0.0,0.0,0.0,X_1+X_2#1 | X_1+X_2#2,0.015
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf,8,0.9566,0.0024,0.9497,25,1.0,0.5008,0.0217,1.0,4.0,0.9566,0.0,0.0,0.0,0.0,X_1+X_2#1 | X_1+X_2#2,0.015
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf,16,0.9566,0.0024,0.9497,25,1.0,0.5008,0.0217,1.0,4.0,0.9566,0.0,0.0,0.0,0.0,X_1+X_2#1 | X_1+X_2#2,0.015
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf,32,0.9566,0.0024,0.9497,25,1.0,0.5008,0.0217,1.0,4.0,0.9566,0.0,0.0,0.0,0.0,X_1+X_2#1 | X_1+X_2#2,0.015
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.009
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf_greedy,2,0.2099,0.1302,0.9495,11,1.0,0.1094,0.0684,0.263,0.88,0.213,-0.2706,0.1319,-0.1529,0.0754,,0.009
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf_greedy,4,0.455,0.2478,0.9483,16,1.0,0.2346,0.1295,0.262,2.48,0.456,-0.5016,0.2472,-0.2662,0.1324,X_1+X_2+X_3+X_4#7,0.009
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf_greedy,8,0.4888,0.2399,0.949,16,1.0,0.2528,0.1253,0.296,3.2,0.4899,-0.4679,0.2395,-0.248,0.1289,X_1+X_2+X_3+X_4#7 | X_1+X_2+X_3+X_4#6,0.009
synthetic_xor_n20000,yes,0.9,5,5,4,purity,vsf_greedy,16,0.5541,0.2432,0.9486,16,1.0,0.285,0.1271,0.376,4.64,0.5565,-0.4026,0.243,-0.2158,0.1315,X_1+X_2+X_3+X_4#7 | X_1+X_2+X_3+X_4#6 | X_1+X_2+X_3+X_4#11 | X_1+X_2+X_3+X_4#9,0.009
