dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf,1,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,0.328
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf,2,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,0.328
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf,4,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,0.328
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf,8,0.8275,0.0469,0.9677,25,1.0,0.5626,0.1606,0.942,6.68,0.8481,0.0,0.0,0.0,0.0,X_5+X_16#3 | X_5+X_16#5 | X_5+X_16#4,0.328
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf,16,0.8571,0.0443,0.9727,25,1.0,0.6257,0.1517,0.955,13.88,0.8727,0.0,0.0,0.0,0.0,X_15+X_16#3 | X_15+X_16#7 | X_15+X_16#12 | X_15+X_16#8 | X_15+X_16#4 | X_15+X_16#10 | X_15+X_16#9 | X_15+X_16#11,0.328
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf,32,0.8347,0.0437,0.956,25,0.92,0.4545,0.2233,0.926,26.92,0.8972,0.0,0.0,0.0,0.0,X_3+X_11+X_16#5 | X_3+X_11+X_16#11 | X_3+X_11+X_16#15 | X_3+X_11+X_16#1 | X_3+X_11+X_16#9 | X_3+X_11+X_16#2 | X_3+X_11+X_16#10 | X_3+X_11+X_16#12 | X_3+X_11+X_16#0,0.328
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_partial,1,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,2.275
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_partial,2,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,0.999,1.04,0.8245,0.0,0.0,0.0,0.0,X_16#3,2.275
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_partial,4,0.8459,0.0394,0.9665,25,1.0,0.5654,0.1577,0.96,3.16,0.8676,0.0224,0.0148,-0.0929,0.1014,X_16#3 | X_11+X_16#2,2.275
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_partial,8,0.8664,0.036,0.9409,25,0.92,0.3529,0.1792,0.938,7.6,0.9139,0.0389,0.0288,-0.2097,0.153,X_16#3 | X_11+X_16#2 | X_11+X_16#0 | X_1+X_8+X_11#8,2.275
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_partial,16,0.8795,0.0377,0.9232,25,0.8,0.1836,0.2716,0.93,12.84,0.9389,0.0223,0.0215,-0.4421,0.219,X_16#3 | X_11+X_16#2 | X_11+X_16#0 | X_1+X_8+X_11#8,2.275
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_partial,32,0.8777,0.0362,0.9182,25,0.76,0.1319,0.3041,0.925,13.76,0.9412,0.0429,0.025,-0.3225,0.2785,X_16#3 | X_11+X_16#2 | X_11+X_16#0 | X_1+X_8+X_11#8,2.275
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_greedy,1,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,0.01
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_greedy,2,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,0.01
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_greedy,4,0.8235,0.0393,0.9799,25,1.0,0.6583,0.1189,1.0,1.0,0.824,0.0,0.0,0.0,0.0,X_16#3,0.01
thyroid_recurrence,Yes,0.9,1,5,4,purity,vsf_greedy,8,0.8236,0.0377,0.9777,25,1.0,0.6413,0.1383,0.974,2.6,0.8333,-0.0039,0.0256,0.0787,0.1063,X_16#3,0.01
