dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds
wa_churn,Yes,0.7,20,5,4,purity,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.132
wa_churn,Yes,0.7,20,5,4,purity,vsf,2,0.2996,0.0113,0.7111,25,0.72,0.015,0.0133,1.0,2.0,0.2996,0.0,0.0,0.0,0.0,X_7+X_17#4,1.132
wa_churn,Yes,0.7,20,5,4,purity,vsf,4,0.2996,0.0113,0.7111,25,0.72,0.015,0.0133,1.0,2.0,0.2996,0.0,0.0,0.0,0.0,X_7+X_17#4,1.132
wa_churn,Yes,0.7,20,5,4,purity,vsf,8,0.2996,0.0113,0.7111,25,0.72,0.015,0.0133,1.0,2.0,0.2996,0.0,0.0,0.0,0.0,X_7+X_17#4,1.132
wa_churn,Yes,0.7,20,5,4,purity,vsf,16,0.3013,0.0119,0.7201,25,0.84,0.0269,0.0167,0.82,9.76,0.3073,0.0,0.0,0.0,0.0,X_7+X_12+X_19#10 | X_7+X_12+X_19#15 | X_7+X_12+X_19#14,1.132
wa_churn,Yes,0.7,20,5,4,purity,vsf,32,0.3047,0.0127,0.7187,25,0.76,0.0248,0.0178,0.815,11.8,0.3099,0.0,0.0,0.0,0.0,X_7+X_12+X_19#10 | X_7+X_12+X_19#15 | X_7+X_12+X_19#14,1.132
wa_churn,Yes,0.7,20,5,4,purity,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.606
wa_churn,Yes,0.7,20,5,4,purity,vsf_partial,2,0.2996,0.0113,0.7111,25,0.72,0.015,0.0133,1.0,2.0,0.2996,0.0,0.0,0.0,0.0,X_7+X_17#4,2.606
wa_churn,Yes,0.7,20,5,4,purity,vsf_partial,4,0.2996,0.0113,0.7111,25,0.72,0.015,0.0133,1.0,2.0,0.2996,0.0,0.0,0.0,0.0,X_7+X_17#4,2.606
wa_churn,Yes,0.7,20,5,4,purity,vsf_partial,8,0.3331,0.0123,0.6985,25,0.48,-0.0037,0.0203,0.872,5.72,0.3435,0.0335,0.005,-0.0187,0.0139,X_7+X_17#4 | X_7+X_12+X_17+X_19#31,2.606
wa_churn,Yes,0.7,20,5,4,purity,vsf_partial,16,0.334,0.0122,0.6983,25,0.48,-0.0041,0.0204,0.87,5.96,0.3444,0.0326,0.0072,-0.031,0.0192,X_7+X_17#4 | X_7+X_12+X_17+X_19#31,2.606
wa_churn,Yes,0.7,20,5,4,purity,vsf_partial,32,0.334,0.0122,0.6983,25,0.48,-0.0041,0.0204,0.87,5.96,0.3444,0.0293,0.0089,-0.0289,0.0201,X_7+X_17#4 | X_7+X_12+X_17+X_19#31,2.606
