source,N,M,max_d,T_listed,T_distinct,alpha,per_cell_level,tau,n_min_pure,purity_mid,n_min_mid,n_min_pure_listed_T,seconds_family
titanic,891,8,4,8983,3102,0.05,1.6118633139909736e-05,0.6,22,0.8,97,24,0.1
titanic,891,8,4,8983,3102,0.05,1.6118633139909736e-05,0.7,31,0.85,148,34,0.1
titanic,891,8,4,8983,3102,0.05,1.6118633139909736e-05,0.8,50,0.9,243,55,0.1
titanic,891,8,4,8983,3102,0.05,1.6118633139909736e-05,0.9,105,0.95,542,115,0.1
titanic,891,8,4,8983,3102,0.05,1.6118633139909736e-05,0.95,216,0.975,1126,236,0.1
car_evaluation,1728,6,4,3679,3391,0.05,1.4744913005013272e-05,0.6,22,0.8,97,22,0.0
car_evaluation,1728,6,4,3679,3391,0.05,1.4744913005013272e-05,0.7,32,0.85,149,32,0.0
car_evaluation,1728,6,4,3679,3391,0.05,1.4744913005013272e-05,0.8,50,0.9,244,51,0.0
car_evaluation,1728,6,4,3679,3391,0.05,1.4744913005013272e-05,0.9,106,0.95,544,107,0.0
car_evaluation,1728,6,4,3679,3391,0.05,1.4744913005013272e-05,0.95,217,0.975,1129,219,0.0
nursery,12960,8,4,11030,11030,0.05,4.533091568449683e-06,0.6,25,0.8,112,25,0.2
nursery,12960,8,4,11030,11030,0.05,4.533091568449683e-06,0.7,35,0.85,168,35,0.2
nursery,12960,8,4,11030,11030,0.05,4.533091568449683e-06,0.8,56,0.9,274,56,0.2
nursery,12960,8,4,11030,11030,0.05,4.533091568449683e-06,0.9,117,0.95,606,117,0.2
nursery,12960,8,4,11030,11030,0.05,4.533091568449683e-06,0.95,240,0.975,1283,240,0.2
mushroom,8124,21,4,381637,49254,0.05,1.0151459779916353e-06,0.6,28,0.8,127,32,4.4
mushroom,8124,21,4,381637,49254,0.05,1.0151459779916353e-06,0.7,39,0.85,189,45,4.4
mushroom,8124,21,4,381637,49254,0.05,1.0151459779916353e-06,0.8,62,0.9,314,72,4.4
mushroom,8124,21,4,381637,49254,0.05,1.0151459779916353e-06,0.9,131,0.95,701,151,4.4
mushroom,8124,21,4,381637,49254,0.05,1.0151459779916353e-06,0.95,270,0.975,1449,309,4.4
chess_krkp,3196,36,4,756544,303620,0.05,1.6467953362756077e-07,0.6,31,0.8,147,33,12.8
chess_krkp,3196,36,4,756544,303620,0.05,1.6467953362756077e-07,0.7,44,0.85,221,47,12.8
chess_krkp,3196,36,4,756544,303620,0.05,1.6467953362756077e-07,0.8,70,0.9,363,75,12.8
chess_krkp,3196,36,4,756544,303620,0.05,1.6467953362756077e-07,0.9,149,0.95,803,157,12.8
chess_krkp,3196,36,4,756544,303620,0.05,1.6467953362756077e-07,0.95,305,0.975,1683,323,12.8
synthetic L=4 M=5 N=500,500,5,4,2598,2088,0.05,2.3946360153256706e-05,0.6,21,0.8,92,22,0.0
synthetic L=4 M=5 N=500,500,5,4,2598,2088,0.05,2.3946360153256706e-05,0.7,30,0.85,142,31,0.0
synthetic L=4 M=5 N=500,500,5,4,2598,2088,0.05,2.3946360153256706e-05,0.8,48,0.9,233,49,0.0
synthetic L=4 M=5 N=500,500,5,4,2598,2088,0.05,2.3946360153256706e-05,0.9,101,0.95,521,104,0.0
synthetic L=4 M=5 N=500,500,5,4,2598,2088,0.05,2.3946360153256706e-05,0.95,208,0.975,1084,212,0.0
synthetic L=4 M=5 N=5000,5000,5,4,2100,2100,0.05,2.380952380952381e-05,0.6,21,0.8,92,21,0.0
synthetic L=4 M=5 N=5000,5000,5,4,2100,2100,0.05,2.380952380952381e-05,0.7,30,0.85,142,30,0.0
synthetic L=4 M=5 N=5000,5000,5,4,2100,2100,0.05,2.380952380952381e-05,0.8,48,0.9,233,48,0.0
synthetic L=4 M=5 N=5000,5000,5,4,2100,2100,0.05,2.380952380952381e-05,0.9,102,0.95,521,102,0.0
synthetic L=4 M=5 N=5000,5000,5,4,2100,2100,0.05,2.380952380952381e-05,0.95,208,0.975,1084,208,0.0
synthetic L=4 M=10 N=500,500,10,4,68019,40041,0.05,1.2487200619365152e-06,0.6,27,0.8,123,28,0.2
synthetic L=4 M=10 N=500,500,10,4,68019,40041,0.05,1.2487200619365152e-06,0.7,39,0.85,188,40,0.2
synthetic L=4 M=10 N=500,500,10,4,68019,40041,0.05,1.2487200619365152e-06,0.8,61,0.9,312,64,0.2
synthetic L=4 M=10 N=500,500,10,4,68019,40041,0.05,1.2487200619365152e-06,0.9,130,0.95,684,135,0.2
synthetic L=4 M=10 N=500,500,10,4,68019,40041,0.05,1.2487200619365152e-06,0.95,266,0.975,1441,276,0.2
synthetic L=4 M=10 N=5000,5000,10,4,62200,62200,0.05,8.038585209003216e-07,0.6,28,0.8,128,28,0.3
synthetic L=4 M=10 N=5000,5000,10,4,62200,62200,0.05,8.038585209003216e-07,0.7,40,0.85,195,40,0.3
synthetic L=4 M=10 N=5000,5000,10,4,62200,62200,0.05,8.038585209003216e-07,0.8,63,0.9,323,63,0.3
synthetic L=4 M=10 N=5000,5000,10,4,62200,62200,0.05,8.038585209003216e-07,0.9,134,0.95,706,134,0.3
synthetic L=4 M=10 N=5000,5000,10,4,62200,62200,0.05,8.038585209003216e-07,0.95,274,0.975,1485,274,0.3
synthetic L=4 M=20 N=500,500,20,4,1369552,593413,0.05,8.425834958115175e-08,0.6,32,0.8,152,34,5.0
synthetic L=4 M=20 N=500,500,20,4,1369552,593413,0.05,8.425834958115175e-08,0.7,46,0.85,229,49,5.0
synthetic L=4 M=20 N=500,500,20,4,1369552,593413,0.05,8.425834958115175e-08,0.8,73,0.9,382,77,5.0
synthetic L=4 M=20 N=500,500,20,4,1369552,593413,0.05,8.425834958115175e-08,0.9,155,0.95,843,163,5.0
synthetic L=4 M=20 N=500,500,20,4,1369552,593413,0.05,8.425834958115175e-08,0.95,318,0.975,1763,334,5.0
synthetic L=4 M=20 N=5000,5000,20,4,1316400,1316400,0.05,3.7982376177453663e-08,0.6,34,0.8,162,34,5.5
synthetic L=4 M=20 N=5000,5000,20,4,1316400,1316400,0.05,3.7982376177453663e-08,0.7,48,0.85,242,48,5.5
synthetic L=4 M=20 N=5000,5000,20,4,1316400,1316400,0.05,3.7982376177453663e-08,0.8,77,0.9,403,77,5.5
synthetic L=4 M=20 N=5000,5000,20,4,1316400,1316400,0.05,3.7982376177453663e-08,0.9,163,0.95,884,163,5.5
synthetic L=4 M=20 N=5000,5000,20,4,1316400,1316400,0.05,3.7982376177453663e-08,0.95,334,0.975,1848,334,5.5
synthetic L=4 M=30 N=500,500,30,4,7467121,2700901,0.05,1.8512340881802038e-08,0.6,35,0.8,168,37,37.4
synthetic L=4 M=30 N=500,500,30,4,7467121,2700901,0.05,1.8512340881802038e-08,0.7,50,0.85,255,53,37.4
synthetic L=4 M=30 N=500,500,30,4,7467121,2700901,0.05,1.8512340881802038e-08,0.8,80,0.9,422,85,37.4
synthetic L=4 M=30 N=500,500,30,4,7467121,2700901,0.05,1.8512340881802038e-08,0.9,169,0.95,925,179,37.4
synthetic L=4 M=30 N=500,500,30,4,7467121,2700901,0.05,1.8512340881802038e-08,0.95,348,0.975,1930,367,37.4
synthetic L=4 M=30 N=5000,5000,30,4,7282600,7282600,0.05,6.865679839617719e-09,0.6,37,0.8,178,37,51.2
synthetic L=4 M=30 N=5000,5000,30,4,7282600,7282600,0.05,6.865679839617719e-09,0.7,53,0.85,269,53,51.2
synthetic L=4 M=30 N=5000,5000,30,4,7282600,7282600,0.05,6.865679839617719e-09,0.8,85,0.9,444,85,51.2
synthetic L=4 M=30 N=5000,5000,30,4,7282600,7282600,0.05,6.865679839617719e-09,0.9,179,0.95,984,179,51.2
