dataset,positive,tau,min_samples,d,n_repeats,seed,winner,in_sample_coverage,in_sample_purity,fixed_cv_coverage,fixed_cv_se,fixed_cv_purity,nested_cv_coverage,nested_cv_se,nested_cv_purity,nested_minus_fixed_t,nested_all_rows_coverage,nested_all_rows_purity,all_rows_minus_train,all_rows_minus_train_se,share_same_winner_all_rows,share_same_winner,n_distinct_winners,mean_pairwise_jaccard,d_star_nested,seconds_nested
titanic,survived,0.9,1,1,5,0,port_embarked,0.0058,1.0,0.0047,0.0037,1.0,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.6,0.6,3,0.47,2,0.5
titanic,survived,0.9,1,2,5,0,passenger_class+title,0.4971,0.9497,0.4485,0.0367,0.9483,0.4831,0.024,0.9505,1.47,0.4831,0.9505,0.0,0.0,0.56,0.56,2,0.658,2,0.5
titanic,survived,0.9,1,3,5,0,passenger_class+sex+age_group,0.5117,0.9563,0.4431,0.0462,0.9572,0.4743,0.0309,0.9443,1.1,0.4743,0.9443,0.0,0.0,0.4,0.4,7,0.482,2,0.5
titanic,survived,0.9,1,4,5,0,passenger_class+title+deck+fare_level,0.5234,0.9624,0.3871,0.0303,0.898,0.4596,0.029,0.9245,2.55,0.4555,0.9165,-0.0041,0.0115,0.08,0.0,7,0.494,2,0.5
titanic,survived,0.7,1,1,5,0,sex,0.6813,0.742,0.6813,0.0246,0.7437,0.6807,0.0245,0.7431,-0.37,0.6807,0.7431,0.0,0.0,0.96,0.96,2,0.92,1,0.4
titanic,survived,0.7,1,2,5,0,sex+title,0.6813,0.742,0.5207,0.1042,0.7422,0.6626,0.0225,0.7654,1.5,0.6626,0.7654,0.0,0.0,0.44,0.44,3,0.524,1,0.4
titanic,survived,0.7,1,3,5,0,title+age_group+family_type,0.6725,0.807,0.617,0.034,0.7941,0.6515,0.0255,0.7954,1.1,0.6515,0.7954,0.0,0.0,0.24,0.24,5,0.573,1,0.4
titanic,survived,0.7,1,4,5,0,sex+title+age_group+family_type,0.6784,0.8084,0.6135,0.0348,0.793,0.6339,0.0223,0.799,0.76,0.6305,0.7947,-0.0035,0.0079,0.48,0.52,4,0.763,1,0.4
titanic,survived,0.9,20,1,5,0,sex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,2,0.5,2,0.4
titanic,survived,0.9,20,2,5,0,passenger_class+sex,0.4708,0.9471,0.4708,0.0233,0.949,0.4708,0.0233,0.949,0.0,0.4708,0.949,0.0,0.0,1.0,1.0,1,1.0,2,0.4
titanic,survived,0.9,20,3,5,0,passenger_class+sex+title,0.4591,0.9458,0.4134,0.0374,0.9446,0.4263,0.0343,0.9465,0.78,0.4263,0.9465,0.0,0.0,0.84,0.84,2,0.86,2,0.4
titanic,survived,0.9,20,4,5,0,passenger_class+sex+fare_level+port_embarked,0.3977,0.9444,0.3203,0.0508,0.9521,0.3701,0.0362,0.946,1.85,0.3701,0.946,0.0,0.0,0.24,0.24,4,0.769,2,0.4
