method,d,runs,false_certificates,rate,ci95_low,ci95_high,nominal,n_rows,n_features,n_levels,prevalence,tau,alpha,max_d
per_schema,1,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
per_schema,2,100,1,0.01,0.0017673865655472645,0.0544875247609346,0.05,3000,12,4,0.45,0.5,0.05,4
per_schema,3,100,36,0.36,0.2727107459049014,0.45764780018837914,0.05,3000,12,4,0.45,0.5,0.05,4
per_schema,4,100,60,0.6,0.5020007846184025,0.6906002538863971,0.05,3000,12,4,0.45,0.5,0.05,4
per_schema,any,100,68,0.68,0.5833719774632081,0.7633098918454312,0.05,3000,12,4,0.45,0.5,0.05,4
family_bonferroni,1,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
family_bonferroni,2,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
family_bonferroni,3,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
family_bonferroni,4,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
family_bonferroni,any,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
split,1,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
split,2,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
split,3,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
split,4,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
split,any,100,0,0.0,0.0,0.03699480747600191,0.05,3000,12,4,0.45,0.5,0.05,4
