dataset,positive,tau,m,selection,budget,cov_vsf,cov_partial,cov_rules_disjoint,cov_rules,cov_tree,cov_greedy,partial_vs_vsf,partial_vs_rules_disjoint,vsf_vs_rules_disjoint,partial_vs_tree,vsf_vs_greedy,net_partial,net_rules,net_rules_disjoint,net_vsf,net_tree,partial_vs_rules_net,gap_closed,purity_ok_vsf,purity_ok_partial,purity_ok_rules_disjoint,purity_ok_rules
titanic,survived,0.9,1,purity,2,0.26729752770673487,0.26729752770673487,0.26729752770673487,0.26729752770673487,0.1550468883205456,0.08129582267689685,=,=,=,=,+,0.1514407502131287,0.1514407502131287,0.1514407502131287,0.1514407502131287,0.04479113384484226,=,,0.96,0.96,0.96,0.96
titanic,survived,0.9,1,purity,4,0.4708098891730605,0.4708098891730605,0.46433930093776643,0.4702216538789428,0.504774083546462,0.1544671781756181,=,=,=,-,+,0.23433930093776634,0.19669224211423691,0.1961040068201193,0.23433930093776634,0.1895822676896845,=,,0.96,0.96,0.92,0.92
titanic,survived,0.9,1,purity,8,0.4708098891730605,0.5240068201193521,0.5269309462915601,0.5339812446717818,0.5106393861892583,0.2410826939471441,+,=,-,=,+,0.2875362318840579,-0.003103154305200459,0.2322250639386189,0.23433930093776634,0.19007672634271094,=,0.9478960960048604,0.96,0.96,0.92,0.6
titanic,survived,0.9,1,purity,16,0.48309462915601026,0.5298891730605285,0.543921568627451,0.5538618925831202,0.5117817561807332,0.31884910485933504,+,=,-,=,+,0.2089428815004262,-0.22567774936061397,0.054023870417732225,0.24662404092071605,0.18592497868712698,+,0.7693062368605456,0.96,0.88,0.64,0.12
titanic,survived,0.9,1,purity,32,0.48306905370843994,0.5281244671781756,0.571457800511509,0.5854816709292412,0.5141176470588236,0.3533930093776641,+,-,-,=,+,0.06469735720375099,-0.4153367433930096,-0.2032480818414324,0.2518158567774935,0.19355498721227615,+,0.5097415123456788,0.96,0.6,0.32,0.04
titanic,survived,0.7,1,purity,1,0.6812531969309462,0.6812531969309462,0.6812531969309462,0.6812531969309462,0.46827791986359757,0.6702387041773231,=,=,=,=,=,0.12837453822108558,0.12837453822108558,0.12837453822108558,0.12837453822108558,-0.016032963910201703,=,,0.88,0.88,0.88,0.88
titanic,survived,0.7,1,purity,2,0.6812531969309462,0.6812531969309462,0.6812531969309462,0.6976385336743393,0.6506052855924979,0.6806734867860187,=,=,=,=,=,0.12837453822108558,0.07503836317135558,0.12837453822108558,0.12837453822108558,0.10244103438476847,=,,0.88,0.88,0.88,0.72
titanic,survived,0.7,1,purity,4,0.6806734867860187,0.7338704177323103,0.7338704177323103,0.7379880647911338,0.6506052855924979,0.6806734867860187,+,=,-,=,=,0.18099175902244966,0.0018044899119068825,0.18099175902244966,0.12644217107132716,0.10244103438476847,+,1.0,0.88,1.0,1.0,0.56
titanic,survived,0.7,1,purity,8,0.6806734867860187,0.7356265984654732,0.7397101449275363,0.819855072463768,0.675626598465473,0.6806734867860187,+,=,-,=,=,0.1349076442171072,-0.06766695083830622,0.14304916169366305,0.12644217107132716,0.13157999431656728,+,0.9308303249097472,0.88,0.96,0.88,0.32
titanic,survived,0.7,1,purity,16,0.675456095481671,0.7385507246376812,0.76075873827792,0.8379624893435634,0.6984143222506394,0.6806734867860187,+,=,-,=,=,0.11597044614947435,-0.146393861892583,0.10824097755044054,0.126635407786303,0.13648479681727774,+,0.7396562062762342,0.88,0.92,0.8,0.28
titanic,survived,0.7,1,purity,32,0.667229326513214,0.7338959931798805,0.7654390451832908,0.8490878090366581,0.6995822676896846,0.6812617220801365,+,-,-,=,=,0.08394430235862473,-0.24310315430520021,0.07478829212844569,0.1512901392441035,0.13492753623188414,+,0.6788194444444429,0.92,0.72,0.72,0.12
titanic,survived,0.9,20,purity,2,0.26729752770673487,0.26729752770673487,0.26729752770673487,0.26729752770673487,0.1550468883205456,0.20294117647058824,=,=,=,=,=,0.1514407502131287,0.1514407502131287,0.1514407502131287,0.1514407502131287,0.04479113384484226,=,,0.96,0.96,0.96,0.96
titanic,survived,0.9,20,purity,4,0.4708098891730605,0.4708098891730605,0.4619863597612958,0.4702216538789428,0.47312872975277065,0.3860954816709292,=,=,=,=,=,0.23433930093776634,0.19669224211423691,0.1937510656436487,0.23433930093776634,0.20535379369138954,=,,0.96,0.96,0.92,0.92
titanic,survived,0.9,20,purity,8,0.4708098891730605,0.4644330775788576,0.4702216538789428,0.5141176470588236,0.47312872975277065,0.4532480818414322,=,=,=,=,=,0.22796248934356345,0.04554987212276204,0.19669224211423691,0.23433930093776634,0.20535379369138954,=,,0.96,0.96,0.92,0.72
titanic,survived,0.9,20,purity,16,0.4708098891730605,0.4644330775788576,0.4702216538789428,0.5298976982097187,0.47312872975277065,0.4532480818414322,=,=,=,=,=,0.22796248934356345,-0.11260869565217405,0.19669224211423691,0.23433930093776634,0.20535379369138954,+,,0.96,0.96,0.92,0.4
titanic,survived,0.9,20,purity,32,0.4708098891730605,0.4644330775788576,0.4702216538789428,0.5328218243819267,0.47312872975277065,0.4532480818414322,=,=,=,=,=,0.22796248934356345,-0.12019607843137269,0.19669224211423691,0.23433930093776634,0.20535379369138954,+,,0.96,0.96,0.92,0.36
titanic,survived,0.7,1,certified,2,0.26729752770673487,0.26729752770673487,0.26729752770673487,0.26729752770673487,0.5170417732310315,0.2549445865302643,=,=,=,-,=,0.2372605853935777,0.2372605853935777,0.2372605853935777,0.2372605853935777,0.35744813867576014,=,,1.0,1.0,1.0,1.0
titanic,survived,0.7,1,certified,4,0.3414748508098892,0.3414748508098892,0.3414748508098892,0.3420630861040068,0.5170417732310315,0.32912190963341864,=,=,=,-,=,0.28555839727195226,0.2861466325660699,0.28555839727195226,0.28555839727195226,0.35744813867576014,=,,1.0,1.0,1.0,1.0
titanic,survived,0.7,1,certified,8,0.3414748508098892,0.3414748508098892,0.3414748508098892,0.35433930093776644,0.5170417732310315,0.32912190963341864,=,=,=,-,=,0.28555839727195226,0.283384484228474,0.28555839727195226,0.28555839727195226,0.35744813867576014,=,,1.0,1.0,1.0,1.0
titanic,survived,0.7,1,certified,16,0.3414748508098892,0.3414748508098892,0.3414748508098892,0.35433930093776644,0.5170417732310315,0.32912190963341864,=,=,=,-,=,0.28555839727195226,0.283384484228474,0.28555839727195226,0.28555839727195226,0.35744813867576014,=,,1.0,1.0,1.0,1.0
titanic,survived,0.7,1,certified,32,0.3414748508098892,0.3414748508098892,0.3414748508098892,0.35433930093776644,0.5170417732310315,0.32912190963341864,=,=,=,-,=,0.28555839727195226,0.283384484228474,0.28555839727195226,0.28555839727195226,0.35744813867576014,=,,1.0,1.0,1.0,1.0
breast_cancer,recurrence-events,0.7,1,purity,2,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.26352941176470585,0.051764705882352935,=,=,=,=,+,0.020392156862745134,0.020392156862745134,0.020392156862745134,0.020392156862745134,-0.04392156862745094,=,,0.64,0.64,0.64,0.64
breast_cancer,recurrence-events,0.7,1,purity,4,0.25176470588235295,0.26588235294117646,0.2611764705882353,0.28705882352941176,0.28941176470588237,0.15294117647058822,=,=,=,=,=,-0.1074509803921568,-0.11372549019607839,-0.11764705882352937,-0.0007843137254901667,-0.03999999999999996,=,,0.64,0.44,0.44,0.52
breast_cancer,recurrence-events,0.7,1,purity,8,0.21882352941176467,0.27294117647058824,0.2988235294117647,0.3317647058823529,0.28470588235294114,0.17647058823529413,=,=,=,=,=,-0.3364705882352941,-0.30509803921568623,-0.23921568627450973,-0.09960784313725486,-0.10509803921568622,=,0.6764705882352944,0.4,0.16,0.36,0.24
breast_cancer,recurrence-events,0.7,1,purity,16,0.26823529411764707,0.30823529411764705,0.34823529411764703,0.4023529411764706,0.2917647058823529,0.22588235294117648,=,=,=,=,=,-0.3670588235294117,-0.624313725490196,-0.4258823529411764,-0.0941176470588235,-0.1309803921568627,=,0.5,0.4,0.08,0.04,0.08
breast_cancer,recurrence-events,0.7,1,purity,32,0.27294117647058824,0.3247058823529412,0.38588235294117645,0.48705882352941177,0.2964705882352941,0.24705882352941175,=,=,=,=,=,-0.3725490196078431,-0.9788235294117645,-0.6572549019607841,-0.10588235294117643,-0.12627450980392152,+,0.45833333333333337,0.32,0.04,0.0,0.0
