tau,m,selection,method,budget,coverage,coverage_se,purity,purity_reaches_tau,train_union_purity,net_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,stability,conditions
0.9,1,purity,psg_topk,1,0.6813,0.0246,0.7437,0.0,0.7421,-1.4513,0.6813,0.0246,-1.4407,0.2153,1.0,1.0
0.9,1,purity,psg_topk,2,0.6888,0.0302,0.7338,0.0,0.7342,-1.5846,0.4215,0.0411,-1.7361,0.2305,0.957,2.0
0.9,1,purity,psg_topk,4,0.6888,0.0302,0.7338,0.0,0.7342,-1.5846,0.218,0.0341,-1.819,0.2438,0.957,4.0
0.9,1,purity,psg_topk,8,0.6888,0.0302,0.7338,0.0,0.7342,-1.5846,0.218,0.0341,-1.819,0.2438,0.957,8.0
0.9,1,purity,psg_topk,16,0.7311,0.0364,0.6887,0.0,0.695,-2.4158,0.248,0.0434,-2.6624,0.691,0.846,16.0
0.9,1,purity,psg_topk,32,0.8684,0.0269,0.584,0.0,0.5838,-4.8252,0.3854,0.0295,-5.077,0.7079,0.906,32.0
0.9,1,purity,psg_filtered,1,0.0047,0.0037,0.8889,0.889,1.0,-0.0059,0.0047,0.0037,0.0047,0.0037,0.843,1.0
0.9,1,purity,psg_filtered,2,0.2673,0.0248,0.9618,0.96,0.9656,0.1514,0.0,0.0,0.0,0.0,0.978,2.0
0.9,1,purity,psg_filtered,4,0.4626,0.0286,0.9402,0.92,0.9453,0.1943,-0.0082,0.0222,-0.04,0.1077,0.965,4.0
0.9,1,purity,psg_filtered,8,0.3047,0.0553,0.9562,0.88,0.958,0.1521,-0.1661,0.0533,-0.0822,0.1175,0.812,8.0
0.9,1,purity,psg_filtered,16,0.3569,0.0638,0.9148,0.6,0.9232,0.0356,-0.1262,0.0538,-0.211,0.1075,0.785,16.0
0.9,1,purity,psg_filtered,32,0.4773,0.0247,0.9118,0.56,0.9182,0.0403,-0.0058,0.0144,-0.2115,0.1209,0.978,32.0
0.9,1,purity,vsf,1,0.0,0.0,0.0,0.0,,-0.0106,0.0,0.0,0.0,0.0,0.47,1.0
0.9,1,purity,vsf,2,0.2673,0.0248,0.9618,0.96,,0.1514,0.0,0.0,0.0,0.0,0.978,2.0
0.9,1,purity,vsf,4,0.4708,0.0233,0.949,0.96,,0.2343,0.0,0.0,0.0,0.0,1.0,4.0
